Asure Software Inc Price to Free Cash Flow Ratio Historical Data,Asure Software Inc Price to Free Cash Flow Ratio Historical Data,Asure Software Inc Price to Free Cash Flow Ratio Historical Data,Asure Software Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.5,,0.0
2024-12-31,9.41,$-0.06,0.0
2024-09-30,9.05,$-0.10,0.0
2024-06-30,8.4,$0.10,81.95
2024-03-31,7.78,$0.07,104.01
2023-12-31,9.52,$0.46,20.49
2023-09-30,9.46,$0.52,18.25
2023-06-30,12.16,$0.17,70.21
2023-03-31,14.5,$0.39,36.82
2022-12-31,9.34,$0.35,26.36
2022-09-30,5.72,$0.16,36.74
2022-06-30,5.7,$0.34,16.65
2022-03-31,5.95,$0.08,74.75
2021-12-31,7.83,$-0.15,0.0
2021-09-30,9.01,$-0.29,0.0
2021-06-30,8.87,$-0.17,0.0
2021-03-31,7.64,$0.06,131.05
2020-12-31,7.1,$-0.09,0.0
2020-09-30,7.55,$-0.58,0.0
2020-06-30,6.43,$-0.70,0.0
2020-03-31,5.96,$-1.01,0.0
2019-12-31,8.18,$-0.58,0.0
2019-09-30,6.71,$-0.29,0.0
2019-06-30,8.23,$-0.38,0.0
2019-03-31,6.11,$-0.59,0.0
2018-12-31,5.08,$-0.92,0.0
2018-09-30,12.42,$-0.64,0.0
2018-06-30,15.95,$-0.41,0.0
2018-03-31,12.24,$-0.33,0.0
2017-12-31,14.12,$-0.28,0.0
2017-09-30,12.42,$-0.55,0.0
2017-06-30,14.61,$-0.64,0.0
2017-03-31,10.28,$-0.41,0.0
2016-12-31,8.51,$-0.37,0.0
2016-09-30,6.43,$0.07,88.2
2016-06-30,4.71,$0.16,28.77
2016-03-31,5.36,$0.23,23.25
2015-12-31,4.51,$0.32,14.16
2015-09-30,5.62,$0.23,24.81
2015-06-30,6.07,$0.23,25.99
2015-03-31,5.76,$0.32,17.74
2014-12-31,5.63,$0.32,17.45
2014-09-30,5.05,$0.34,15.04
2014-06-30,6.04,$0.26,22.92
2014-03-31,6.64,$0.29,23.21
2013-12-31,5.61,$0.29,19.35
2013-09-30,4.32,$0.22,19.86
2013-06-30,5.78,$0.32,18.19
2013-03-31,6.39,$0.25,26.06
2012-12-31,5.87,$0.38,15.55
2012-09-30,6.95,$0.64,10.79
2012-06-30,4.15,$0.65,6.42
2012-03-31,5.26,$0.75,6.99
2011-12-31,4.25,$0.70,6.08
2011-09-30,2.18,$0.43,5.06
2011-06-30,1.93,$0.29,6.68
2011-03-31,1.8,$-0.13,0.0
2010-12-31,1.95,$-0.23,0.0
2010-09-30,1.73,$1.19,1.46
2010-06-30,1.47,$1.61,0.91
2010-03-31,1.59,$-0.04,0.0
2009-12-31,1.93,$0.50,3.85
2009-10-31,1.33,$-0.71,0.0
2009-09-30,2.67,$-1.69,0.0
2009-07-31,1.07,0,0.0
2009-06-30,1.73,$-1.05,0.0
