Everest Group Price to Free Cash Flow Ratio Historical Data,Everest Group Price to Free Cash Flow Ratio Historical Data,Everest Group Price to Free Cash Flow Ratio Historical Data,Everest Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,354.8,,3.06
2024-12-31,362.46,$116.09,3.12
2024-09-30,389.83,$125.87,3.1
2024-06-30,377.13,$114.21,3.3
2024-03-31,393.45,$108.44,3.63
2023-12-31,348.4,$110.24,3.16
2023-09-30,364.66,$108.58,3.36
2023-06-30,333.89,$108.10,3.09
2023-03-31,348.04,$100.92,3.45
2022-12-31,320.47,$95.23,3.37
2022-09-30,252.61,$95.41,2.65
2022-06-30,268.16,$96.54,2.78
2022-03-31,286.62,$96.50,2.97
2021-12-31,259.07,$97.53,2.66
2021-09-30,235.76,$87.67,2.69
2021-06-30,235.57,$85.04,2.77
2021-03-31,230.24,$82.13,2.8
2020-12-31,216.17,$71.85,3.01
2020-09-30,181.2,$64.40,2.81
2020-06-30,187.81,$52.65,3.57
2020-03-31,173.93,$47.01,3.7
2019-12-31,248.64,$45.82,5.43
2019-09-30,237.6,$38.42,6.18
2019-06-30,219.44,$32.90,6.67
2019-03-31,190.63,$21.59,8.83
2018-12-31,192.22,$15.03,12.79
2018-09-30,200.37,$16.33,12.27
2018-06-30,200.95,$16.21,12.4
2018-03-31,222.63,$23.92,9.31
2017-12-31,190.83,$28.47,6.7
2017-09-30,195.85,$35.56,5.51
2017-06-30,217.22,$32.46,6.69
2017-03-31,198.49,$33.75,5.88
2016-12-31,182.73,$33.24,5.5
2016-09-30,159.46,$30.18,5.28
2016-06-30,152.42,$29.57,5.15
2016-03-31,163.68,$26.26,6.23
2015-12-31,150.9,$25.31,5.96
2015-09-30,141.98,$20.95,6.78
2015-06-30,148.25,$22.18,6.68
2015-03-31,140.99,$23.09,6.11
2014-12-31,137.26,$23.03,5.96
2014-09-30,129.86,$25.73,5.05
2014-06-30,128.05,$26.33,4.86
2014-03-31,121.54,$25.11,4.84
2013-12-31,123.16,$22.39,5.5
2013-09-30,114.35,$21.13,5.41
2013-06-30,100.51,$16.42,6.12
2013-03-31,101.39,$15.33,6.61
2012-12-31,85.51,$13.34,6.41
2012-09-30,82.81,$12.45,6.65
2012-06-30,79.75,$12.90,6.18
2012-03-31,70.96,$12.96,5.47
2011-12-31,64.15,$13.31,4.82
2011-09-30,60.22,$12.11,4.97
2011-06-30,61.65,$13.91,4.43
2011-03-31,66.15,$15.05,4.39
2010-12-31,63.27,$16.17,3.91
2010-09-30,64.14,$17.24,3.72
2010-06-30,52.14,$16.79,3.11
2010-03-31,59.28,$14.55,4.07
2009-12-31,62.4,$12.90,4.84
