Park-Ohio Holdings Price to Free Cash Flow Ratio Historical Data,Park-Ohio Holdings Price to Free Cash Flow Ratio Historical Data,Park-Ohio Holdings Price to Free Cash Flow Ratio Historical Data,Park-Ohio Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.43,,19.61
2024-12-31,26.27,$1.14,22.97
2024-09-30,30.58,$0.69,44.53
2024-06-30,25.68,$2.02,12.73
2024-03-31,26.34,$2.26,11.65
2023-12-31,26.48,$2.18,12.17
2023-09-30,19.45,$0.36,53.8
2023-06-30,18.44,$-0.92,0.0
2023-03-31,11.63,$-3.34,0.0
2022-12-31,11.67,$-3.61,0.0
2022-09-30,10.7,$-0.48,0.0
2022-06-30,14.91,$-1.59,0.0
2022-03-31,13.06,$-2.05,0.0
2021-12-31,19.51,$-1.15,0.0
2021-09-30,23.39,$-2.53,0.0
2021-06-30,29.32,$0.02,1916.17
2021-03-31,28.63,$4.15,6.9
2020-12-31,27.98,$3.28,8.53
2020-09-30,14.48,$3.36,4.31
2020-06-30,14.95,$3.47,4.31
2020-03-31,17.07,$1.62,10.51
2019-12-31,30.19,$1.90,15.86
2019-09-30,26.69,$2.06,12.97
2019-06-30,29.0,$1.21,24.02
2019-03-31,28.71,$0.72,40.02
2018-12-31,27.11,$1.00,27.11
2018-09-30,33.76,$-0.07,0.0
2018-06-30,32.73,$0.13,256.94
2018-03-31,33.99,$1.97,17.27
2017-12-31,40.08,$1.50,26.65
2017-09-30,39.65,$2.61,15.18
2017-06-30,33.02,$2.24,14.76
2017-03-31,31.05,$3.01,10.33
2016-12-31,36.69,$3.61,10.16
2016-09-30,31.29,$3.89,8.04
2016-06-30,24.19,$3.77,6.42
2016-03-31,36.44,$1.61,22.68
2015-12-31,31.14,$0.66,47.09
2015-09-30,24.35,$-0.95,0.0
2015-06-30,40.77,$0.10,389.03
2015-03-31,44.19,$1.43,30.98
2014-12-31,52.77,$2.41,21.88
2014-09-30,39.98,$3.30,12.13
2014-06-30,48.44,$2.83,17.11
2014-03-31,46.69,$3.37,13.86
2013-12-31,43.57,$4.25,10.26
2013-09-30,31.95,$3.44,9.28
2013-06-30,27.42,$3.40,8.07
2013-03-31,27.55,$2.52,10.92
2012-12-31,17.72,$2.69,6.58
2012-09-30,18.02,$2.69,6.7
2012-06-30,15.82,$2.53,6.26
2012-03-31,16.67,$2.30,7.25
2011-12-31,14.83,$2.07,7.18
2011-09-30,9.99,$2.70,3.7
2011-06-30,17.58,$3.73,4.71
2011-03-31,17.18,$5.13,3.35
2010-12-31,17.39,$5.35,3.25
2010-09-30,11.06,$5.28,2.1
2010-06-30,11.97,$6.11,1.96
2010-03-31,7.27,$5.42,1.34
2009-12-31,4.7,$3.49,1.35
