Avient Price to Free Cash Flow Ratio Historical Data,Avient Price to Free Cash Flow Ratio Historical Data,Avient Price to Free Cash Flow Ratio Historical Data,Avient Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.65,,27.04
2024-12-31,40.86,$1.47,27.87
2024-09-30,50.04,$1.78,28.15
2024-06-30,43.17,$1.74,24.77
2024-03-31,42.67,$0.63,67.95
2023-12-31,40.61,$0.90,45.35
2023-09-30,34.28,$1.02,33.73
2023-06-30,39.44,$1.62,24.36
2023-03-31,39.45,$2.65,14.87
2022-12-31,32.15,$3.18,10.12
2022-09-30,28.64,$2.79,10.26
2022-06-30,37.65,$1.95,19.27
2022-03-31,44.83,$1.65,27.22
2021-12-31,52.0,$1.45,35.95
2021-09-30,42.88,$1.93,22.24
2021-06-30,45.28,$1.43,31.7
2021-03-31,43.35,$1.88,23.07
2020-12-31,36.78,$1.74,21.1
2020-09-30,24.03,$1.20,20.02
2020-06-30,23.65,$2.48,9.55
2020-03-31,16.97,$2.99,5.68
2019-12-31,32.48,$2.82,11.52
2019-09-30,28.64,$2.73,10.5
2019-06-30,27.38,$2.24,12.2
2019-03-31,25.4,$1.65,15.38
2018-12-31,24.62,$2.26,10.88
2018-09-30,37.39,$2.26,16.57
2018-06-30,36.82,$2.22,16.6
2018-03-31,36.07,$2.14,16.86
2017-12-31,36.76,$1.50,24.57
2017-09-30,33.69,$1.54,21.94
2017-06-30,32.48,$1.65,19.73
2017-03-31,28.48,$1.73,16.51
2016-12-31,26.66,$1.70,15.73
2016-09-30,28.02,$1.80,15.53
2016-06-30,29.1,$1.71,17.0
2016-03-31,24.9,$1.99,12.54
2015-12-31,26.03,$1.68,15.49
2015-09-30,23.96,$1.53,15.64
2015-06-30,31.89,$1.73,18.44
2015-03-31,30.33,$1.69,17.9
2014-12-31,30.7,$1.54,19.96
2014-09-30,28.74,$4.43,6.48
2014-06-30,33.96,$3.78,8.98
2014-03-31,29.49,$3.35,8.79
2013-12-31,28.37,$3.19,8.88
2013-09-30,24.59,$-0.52,0.0
2013-06-30,19.8,$-0.14,0.0
2013-03-31,19.46,$-0.27,0.0
2012-12-31,16.24,$0.55,29.46
2012-09-30,13.14,$0.93,14.13
2012-06-30,10.82,$0.68,16.03
2012-03-31,11.34,$0.38,30.25
2011-12-31,9.06,$0.20,46.46
2011-09-30,8.38,$0.26,32.39
2011-06-30,12.06,$0.43,27.87
2011-03-31,11.05,$0.58,18.97
2010-12-31,9.68,$1.06,9.17
2010-09-30,9.37,$0.64,14.67
2010-06-30,6.52,$1.11,5.88
2010-03-31,7.94,$1.41,5.61
2009-12-31,5.79,$2.12,2.73
