CXApp Price to Free Cash Flow Ratio Historical Data,CXApp Price to Free Cash Flow Ratio Historical Data,CXApp Price to Free Cash Flow Ratio Historical Data,CXApp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.97,,0.0
2024-09-30,1.68,$-1.05,0.0
2024-06-30,2.02,$-0.91,0.0
2024-03-31,2.45,$-0.94,0.0
2023-12-31,1.29,$-1.58,0.0
2023-09-30,1.81,$-0.83,0.0
2023-06-30,10.92,$-0.84,0.0
2023-03-31,1.81,$-0.69,0.0
2022-12-31,10.07,0,0.0
2022-09-30,10.0,$-0.01,0.0
2022-06-30,10.0,$-0.04,0.0
2022-03-31,10.06,$-0.05,0.0
2021-12-31,9.99,$-0.09,0.0
