American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,270.83,,15.91
2024-12-31,296.79,$17.03,17.43
2024-09-30,270.51,$18.23,14.84
2024-06-30,230.28,$32.02,7.19
2024-03-31,225.72,$31.22,7.23
2023-12-31,185.13,$23.09,8.02
2023-09-30,146.83,$25.00,5.87
2023-06-30,170.25,$19.74,8.62
2023-03-31,160.61,$20.04,8.01
2022-12-31,143.35,$25.56,5.61
2022-09-30,130.42,$20.80,6.27
2022-06-30,134.0,$20.14,6.65
2022-03-31,179.58,$18.67,9.62
2021-12-31,156.72,$16.58,9.45
2021-09-30,160.09,$14.67,10.91
2021-06-30,157.49,$12.12,12.99
2021-03-31,134.81,$10.70,12.6
2020-12-31,114.49,$5.10,22.44
2020-09-30,94.54,$4.59,20.58
2020-06-30,89.37,$0.75,118.85
2020-03-31,79.92,$1.56,51.39
2019-12-31,115.82,$14.44,8.02
2019-09-30,109.63,$9.20,11.92
2019-06-30,114.06,$16.30,7.0
2019-03-31,100.63,$16.48,6.11
2018-12-31,87.4,$8.87,9.85
2018-09-30,97.29,$16.09,6.05
2018-06-30,89.21,$15.18,5.88
2018-03-31,84.6,$15.23,5.56
2017-12-31,89.76,$14.08,6.37
2017-09-30,81.45,$11.91,6.84
2017-06-30,75.56,$8.88,8.51
2017-03-31,70.67,$6.06,11.66
2016-12-31,65.9,$7.40,8.91
2016-09-30,56.69,$6.68,8.49
2016-06-30,53.78,$8.40,6.4
2016-03-31,53.83,$9.82,5.48
2015-12-31,60.7,$9.34,6.5
2015-09-30,64.45,$8.90,7.24
2015-06-30,67.57,$8.87,7.62
2015-03-31,67.67,$8.28,8.17
2014-12-31,80.1,$9.32,8.59
2014-09-30,75.13,$7.31,10.28
2014-06-30,81.2,$2.13,38.05
2014-03-31,76.86,$3.15,24.38
2013-12-31,77.26,$6.92,11.16
2013-09-30,64.11,$3.58,17.89
2013-06-30,63.27,$8.75,7.23
2013-03-31,56.92,$9.21,6.18
2012-12-31,48.34,$5.28,9.15
2012-09-30,47.65,$11.30,4.22
2012-06-30,48.62,$9.81,4.95
2012-03-31,48.16,$9.73,4.95
2011-12-31,39.12,$7.25,5.4
2011-09-30,37.08,$5.68,6.53
2011-06-30,42.7,$5.98,7.14
2011-03-31,37.05,$5.03,7.37
2010-12-31,35.04,$6.57,5.33
2010-09-30,34.15,$6.56,5.21
2010-06-30,32.26,$6.27,5.15
2010-03-31,33.38,$5.78,5.78
2009-12-31,32.5,$4.80,6.78
