Theriva Biologics Price to Free Cash Flow Ratio Historical Data,Theriva Biologics Price to Free Cash Flow Ratio Historical Data,Theriva Biologics Price to Free Cash Flow Ratio Historical Data,Theriva Biologics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.2,,0.0
2024-12-31,1.75,$-12.56,0.0
2024-09-30,1.38,$-22.11,0.0
2024-06-30,5.91,$-24.85,0.0
2024-03-31,11.73,$-27.63,0.0
2023-12-31,10.75,$-29.80,0.0
2023-09-30,13.48,$-28.12,0.0
2023-06-30,25.0,$-32.37,0.0
2023-03-31,17.46,$-31.73,0.0
2022-12-31,11.37,$-31.31,0.0
2022-09-30,24.65,$-32.82,0.0
2022-06-30,53.33,$-29.86,0.0
2022-03-31,71.33,$-26.14,0.0
2021-12-31,68.05,$-26.47,0.0
2021-09-30,114.88,$-58.95,0.0
2021-06-30,150.6,$-76.49,0.0
2021-03-31,170.55,$-96.79,0.0
2020-12-31,95.75,$-160.13,0.0
2020-09-30,118.68,$-174.74,0.0
2020-06-30,127.78,$-196.46,0.0
2020-03-31,80.38,$-216.08,0.0
2019-12-31,126.73,$-210.99,0.0
2019-09-30,113.43,$22.05,5.15
2019-06-30,137.5,$-97.79,0.0
2019-03-31,169.73,$-347.12,0.0
2018-12-31,140.0,$-693.44,0.0
2018-09-30,650.0,"$-1,180.55",0.0
2018-06-30,2091.25,"$-1,305.95",0.0
2018-03-31,2786.0,"$-1,402.32",0.0
2017-12-31,4445.0,"$-1,436.53",0.0
2017-09-30,8164.62,"$-2,070.02",0.0
2017-06-30,4948.12,"$-2,397.44",0.0
2017-03-31,5518.62,"$-2,537.02",0.0
2016-12-31,6672.75,"$-2,639.34",0.0
2016-09-30,15050.0,"$-3,127.86",0.0
2016-06-30,15750.0,"$-3,809.45",0.0
2016-03-31,20650.0,"$-4,158.08",0.0
2015-12-31,20037.5,"$-4,266.44",0.0
2015-09-30,19862.5,"$-3,411.61",0.0
2015-06-30,24937.5,"$-2,795.48",0.0
2015-03-31,19162.5,"$-2,413.73",0.0
2014-12-31,12775.0,"$-2,275.73",0.0
2014-09-30,15575.0,"$-2,194.01",0.0
2014-06-30,15050.0,"$-1,851.60",0.0
2014-03-31,22487.5,"$-1,678.72",0.0
2013-12-31,13387.5,"$-1,484.38",0.0
2013-09-30,14700.0,"$-2,135.79",0.0
2013-06-30,15050.0,"$-2,168.19",0.0
2013-03-31,14875.0,"$-2,175.68",0.0
2012-12-31,15400.0,"$-2,235.85",0.0
2012-09-30,18200.0,"$-1,326.07",0.0
2012-06-30,17325.0,"$-1,235.32",0.0
2012-03-31,19250.0,"$-1,195.75",0.0
2011-12-31,11025.0,$-906.30,0.0
2011-09-30,5136.25,$-934.41,0.0
2011-06-30,7525.87,$-997.49,0.0
2011-03-31,15225.0,$-196.09,0.0
2010-12-31,10937.5,$-421.57,0.0
2010-09-30,6803.12,$-658.42,0.0
2010-06-30,9625.87,$-598.05,0.0
2010-03-31,16887.5,"$-1,460.89",0.0
2009-12-31,4900.0,"$-1,376.19",0.0
