ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,734.06,,29.32
2024-12-31,693.08,$25.03,27.69
2024-09-30,831.33,$7.88,105.43
2024-06-30,1018.43,$8.14,125.15
2024-03-31,964.42,$6.64,145.34
2023-12-31,750.9,$9.03,83.16
2023-09-30,582.52,$15.08,38.64
2023-06-30,715.58,$15.21,47.05
2023-03-31,670.14,$21.93,30.56
2022-12-31,536.72,$19.07,28.14
2022-09-30,406.75,$23.56,17.26
2022-06-30,464.93,$26.24,17.72
2022-03-31,644.11,$29.64,21.73
2021-12-31,767.75,$28.67,26.78
2021-09-30,716.7,$22.95,31.23
2021-06-30,664.5,$18.23,36.45
2021-03-31,592.13,$8.92,66.41
2020-12-31,467.79,$9.99,46.82
2020-09-30,352.83,$6.72,52.5
2020-06-30,351.64,$6.60,53.26
2020-03-31,248.75,$6.15,40.44
2019-12-31,281.36,$6.67,42.2
2019-09-30,235.17,$1.99,118.01
2019-06-30,196.84,$3.23,60.91
2019-03-31,176.03,$5.06,34.82
2018-12-31,145.67,$6.92,21.05
2018-09-30,176.0,$5.16,34.12
2018-06-30,185.32,$5.08,36.46
2018-03-31,184.25,$4.51,40.85
2017-12-31,161.29,$3.82,42.19
2017-09-30,158.86,$4.39,36.22
2017-06-30,120.92,$3.32,36.42
2017-03-31,122.02,$3.14,38.88
2016-12-31,103.09,$3.49,29.52
2016-09-30,100.68,$2.87,35.04
2016-06-30,91.15,$3.93,23.18
2016-03-31,91.07,$3.44,26.51
2015-12-31,80.53,$4.24,18.97
2015-09-30,79.81,$2.80,28.48
2015-06-30,94.47,$2.80,33.7
2015-03-31,91.01,$2.69,33.87
2014-12-31,97.13,$3.37,28.87
2014-06-30,84.02,$2.20,38.1
2014-03-31,83.24,$3.18,26.2
2013-12-31,83.54,$2.51,33.24
2013-09-30,88.05,$-1.32,0.0
2013-06-30,70.53,$1.52,46.33
2013-03-31,60.06,$-0.20,0.0
2012-12-31,56.88,$1.50,37.88
2012-09-30,49.4,$4.37,11.29
2012-06-30,47.32,$3.12,15.16
2012-03-31,45.6,$5.25,8.68
2011-12-31,38.0,$8.06,4.71
2011-09-30,31.41,$8.56,3.67
2011-06-30,33.61,$9.18,3.66
2011-03-31,39.91,$7.57,5.27
2010-12-31,34.38,$3.47,9.9
2010-09-30,26.66,$2.65,10.06
2010-06-30,24.63,$0.51,48.07
2010-03-31,31.75,$-0.02,0.0
2009-12-31,30.36,$-0.00,0.0
