Silvercrest Asset Management Group Price to Free Cash Flow Ratio Historical Data,Silvercrest Asset Management Group Price to Free Cash Flow Ratio Historical Data,Silvercrest Asset Management Group Price to Free Cash Flow Ratio Historical Data,Silvercrest Asset Management Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.65,,7.98
2024-12-31,18.39,$2.09,8.81
2024-09-30,17.06,$1.90,8.98
2024-06-30,15.24,$2.18,6.99
2024-03-31,15.26,$1.99,7.68
2023-12-31,16.22,$1.81,8.98
2023-09-30,14.97,$1.88,7.97
2023-06-30,18.89,$1.65,11.43
2023-03-31,16.81,$1.89,8.88
2022-12-31,17.18,$2.28,7.52
2022-09-30,14.82,$3.02,4.91
2022-06-30,14.73,$3.62,4.06
2022-03-31,18.19,$3.72,4.89
2021-12-31,15.13,$4.48,3.38
2021-09-30,13.59,$3.91,3.47
2021-06-30,12.98,$3.42,3.79
2021-03-31,12.28,$2.76,4.46
2020-12-31,11.74,$2.76,4.26
2020-09-30,8.75,$2.68,3.26
2020-06-30,10.48,$2.47,4.25
2020-03-31,7.69,$2.56,3.01
2019-12-31,10.04,$1.70,5.91
2019-09-30,9.71,$1.60,6.06
2019-06-30,10.95,$2.14,5.11
2019-03-31,10.99,$2.65,4.15
2018-12-31,10.1,$3.26,3.09
2018-09-30,10.47,$3.60,2.91
2018-06-30,12.21,$3.35,3.65
2018-03-31,11.29,$3.08,3.67
2017-12-31,11.81,$3.55,3.33
2017-09-30,10.62,$2.66,3.99
2017-06-30,9.73,$2.59,3.76
2017-03-31,9.53,$2.08,4.59
2016-12-31,9.34,$2.15,4.35
2016-09-30,8.36,$2.03,4.11
2016-06-30,8.53,$1.86,4.59
2016-03-31,8.79,$2.02,4.35
2015-12-31,8.12,$2.02,4.02
2015-09-30,7.31,$2.31,3.17
2015-06-30,9.41,$2.08,4.53
2015-03-31,9.44,$1.83,5.17
2014-12-31,10.28,$2.59,3.97
2014-09-30,8.87,$0.80,11.07
2014-06-30,11.12,$2.07,5.38
2014-03-31,11.74,$2.54,4.62
