Lakeland Industries Price to Free Cash Flow Ratio Historical Data,Lakeland Industries Price to Free Cash Flow Ratio Historical Data,Lakeland Industries Price to Free Cash Flow Ratio Historical Data,Lakeland Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.0,,0.0
2024-10-31,18.56,$-0.86,0.0
2024-07-31,23.54,$0.74,31.6
2024-04-30,16.48,$1.36,12.14
2024-01-31,17.9,$1.78,10.07
2023-10-31,14.49,$0.70,20.67
2023-07-31,15.31,$0.06,238.47
2023-04-30,11.89,$-0.75,0.0
2023-01-31,14.26,$-0.96,0.0
2022-10-31,11.65,$-0.86,0.0
2022-07-31,15.8,$-0.72,0.0
2022-04-30,15.94,$0.67,23.84
2022-01-31,20.71,$1.49,13.91
2021-10-31,20.6,$3.01,6.85
2021-07-31,26.56,$3.67,7.23
2021-04-30,27.79,$4.55,6.11
2021-01-31,27.38,$4.79,5.72
2020-10-31,21.25,$4.04,5.25
2020-07-31,23.31,$3.54,6.59
2020-04-30,13.42,$1.40,9.58
2020-01-31,13.73,$0.32,43.15
2019-10-31,10.88,$-0.13,0.0
2019-07-31,10.57,$-0.64,0.0
2019-04-30,12.5,$-0.07,0.0
2019-01-31,10.95,$-0.16,0.0
2018-10-31,12.94,$-1.13,0.0
2018-07-31,13.3,$-0.91,0.0
2018-04-30,12.76,$-0.52,0.0
2018-01-31,13.89,$-0.03,0.0
2017-10-31,15.61,$1.03,15.18
2017-07-31,14.82,$1.74,8.54
2017-04-30,10.49,$1.60,6.54
2017-01-31,10.69,$1.51,7.07
2016-10-31,9.75,$1.55,6.3
2016-07-31,9.99,$1.12,8.89
2016-04-30,8.56,$0.60,14.27
2016-01-31,12.74,$-0.13,0.0
2015-10-31,12.17,$-0.70,0.0
2015-07-31,10.34,$-0.21,0.0
2015-04-30,9.08,$-0.19,0.0
2015-01-31,8.37,$0.31,26.64
2014-10-31,13.89,$0.22,62.45
2014-07-31,6.06,$-0.98,0.0
2014-04-30,6.97,$-0.52,0.0
2014-01-31,6.46,$-0.70,0.0
2013-10-31,5.5,$-0.38,0.0
2013-07-31,4.36,$0.11,39.53
2013-04-30,3.91,$0.22,17.58
2013-01-31,4.97,$0.15,32.77
2012-10-31,6.05,$0.08,75.98
2012-07-31,6.5,$0.24,26.86
2012-04-30,10.29,$-0.09,0.0
2012-01-31,9.28,$-0.91,0.0
2011-10-31,7.41,$-2.18,0.0
2011-07-31,8.11,$-2.23,0.0
2011-04-30,8.56,$-2.27,0.0
2011-01-31,8.72,$-0.49,0.0
2010-10-31,9.48,$1.78,5.34
2010-07-31,8.88,$2.45,3.62
2010-04-30,8.73,$3.31,2.64
2010-01-31,8.32,$3.20,2.6
2009-10-31,7.25,$1.97,3.67
