Popular Price to Free Cash Flow Ratio Historical Data,Popular Price to Free Cash Flow Ratio Historical Data,Popular Price to Free Cash Flow Ratio Historical Data,Popular Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.22,,13.74
2024-12-31,94.06,$6.56,14.33
2024-09-30,99.57,$6.53,15.25
2024-06-30,87.26,$5.13,17.01
2024-03-31,86.32,$6.64,12.99
2023-12-31,79.83,$6.79,11.76
2023-09-30,60.79,$6.87,8.85
2023-06-30,57.89,$10.04,5.76
2023-03-31,54.39,$11.57,4.7
2022-12-31,62.16,$12.24,5.08
2022-09-30,66.98,$13.59,4.93
2022-06-30,70.99,$12.15,5.84
2022-03-31,74.92,$11.88,6.3
2021-12-31,74.68,$11.72,6.37
2021-09-30,70.3,$10.17,6.91
2021-06-30,67.52,$9.69,6.97
2021-03-31,62.9,$7.63,8.24
2020-12-31,50.1,$7.51,6.68
2020-09-30,32.03,$7.04,4.55
2020-06-30,32.48,$6.73,4.82
2020-03-31,30.28,$7.11,4.26
2019-12-31,50.02,$6.68,7.48
2019-09-30,45.8,$7.22,6.34
2019-06-30,45.68,$7.56,6.04
2019-03-31,43.65,$7.50,5.82
2018-12-31,39.32,$7.66,5.13
2018-09-30,42.47,$5.50,7.72
2018-06-30,37.28,$5.60,6.66
2018-03-31,34.14,$5.83,5.86
2017-12-31,28.95,$5.72,5.06
2017-09-30,29.11,$7.31,3.98
2017-06-30,33.58,$5.44,6.17
2017-03-31,32.57,$5.15,6.33
2016-12-31,34.83,$4.89,7.13
2016-09-30,30.28,$5.85,5.18
2016-06-30,23.12,$7.40,3.13
2016-03-31,22.47,$7.58,2.96
2015-12-31,22.13,$6.02,3.68
2015-09-30,23.48,$4.16,5.65
2015-06-30,22.31,$6.75,3.3
2015-03-31,26.58,$6.46,4.11
2014-12-31,26.32,$8.13,3.24
2014-09-30,22.75,$9.34,2.44
2014-06-30,26.42,$6.71,3.94
2014-03-31,23.95,$6.97,3.43
2013-12-31,22.21,$7.67,2.89
2013-09-30,20.29,$8.21,2.47
2013-06-30,23.47,$7.14,3.29
2013-03-31,21.33,$4.64,4.6
2012-12-31,16.07,$4.76,3.37
2012-09-30,13.48,$8.65,1.56
2012-06-30,12.84,$8.76,1.47
2012-03-31,15.84,$9.21,1.72
2011-12-31,10.74,$6.27,1.71
2011-09-30,11.59,$-1.37,0.0
2011-06-30,21.33,$-2.92,0.0
2011-03-31,22.57,$-1.81,0.0
2010-12-31,24.27,$1.25,19.39
2010-09-30,22.41,$1.54,14.53
2010-06-30,20.71,$3.40,6.09
2010-03-31,22.49,$16.41,1.37
2009-12-31,17.47,$14.69,1.19
