Home Bancorp Price to Free Cash Flow Ratio Historical Data,Home Bancorp Price to Free Cash Flow Ratio Historical Data,Home Bancorp Price to Free Cash Flow Ratio Historical Data,Home Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.9,,8.18
2024-12-31,46.21,$5.61,8.23
2024-09-30,44.34,$6.15,7.21
2024-06-30,39.56,$5.58,7.09
2024-03-31,37.62,$4.83,7.79
2023-12-31,40.98,$4.88,8.4
2023-09-30,30.86,$5.33,5.78
2023-06-30,31.94,$5.77,5.53
2023-03-31,31.51,$6.96,4.53
2022-12-31,37.95,$5.93,6.4
2022-09-30,36.76,$5.61,6.55
2022-06-30,31.99,$4.97,6.44
2022-03-31,37.99,$5.24,7.25
2021-12-31,38.44,$6.37,6.04
2021-09-30,35.63,$8.51,4.19
2021-06-30,34.89,$7.69,4.54
2021-03-31,32.8,$5.87,5.59
2020-12-31,25.29,$5.39,4.69
2020-09-30,21.64,$3.22,6.72
2020-06-30,23.75,$3.48,6.83
2020-03-31,21.49,$4.00,5.37
2019-12-31,34.28,$4.39,7.81
2019-09-30,33.91,$4.46,7.6
2019-06-30,33.27,$5.12,6.5
2019-03-31,28.75,$3.69,7.8
2018-12-31,30.43,$4.64,6.56
2018-09-30,37.19,$3.57,10.41
2018-06-30,39.66,$3.14,12.63
2018-03-31,36.63,$4.36,8.4
2017-12-31,36.54,$3.20,11.41
2017-09-30,35.24,$4.31,8.17
2017-06-30,35.7,$4.71,7.59
2017-03-31,28.23,$3.89,7.26
2016-12-31,32.17,$2.91,11.04
2016-09-30,23.23,$2.58,9.02
2016-06-30,22.71,$4.10,5.54
2016-03-31,22.09,$4.83,4.57
2015-12-31,21.33,$5.34,4.0
2015-09-30,21.11,$5.04,4.19
2015-06-30,20.59,$3.53,5.83
2015-03-31,17.3,$4.11,4.21
2014-12-31,18.59,$3.56,5.23
2014-09-30,18.35,$3.09,5.94
2014-06-30,17.8,$3.05,5.84
2014-03-31,16.96,$2.25,7.55
2013-12-31,15.23,$2.88,5.28
2013-09-30,14.59,$2.08,7.03
2013-06-30,14.95,$1.44,10.41
2013-03-31,15.04,$1.00,15.08
2012-12-31,14.75,$1.52,9.69
2012-09-30,14.54,$3.38,4.3
2012-06-30,13.84,$2.43,5.69
2012-03-31,14.09,$2.89,4.87
2011-12-31,12.53,$2.26,5.54
2011-09-30,11.7,$0.90,12.94
2011-06-30,11.95,$-0.33,0.0
2011-03-31,12.38,$-0.36,0.0
2010-12-31,11.17,$-1.10,0.0
2010-09-30,10.81,$-1.35,0.0
2010-06-30,10.43,$0.68,15.37
2010-03-31,11.31,$-0.24,0.0
2009-12-31,9.85,$0.33,29.42
