Mayville Engineering Price to Free Cash Flow Ratio Historical Data,Mayville Engineering Price to Free Cash Flow Ratio Historical Data,Mayville Engineering Price to Free Cash Flow Ratio Historical Data,Mayville Engineering Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.36,,3.86
2024-12-31,15.72,$3.72,4.22
2024-09-30,21.08,$2.97,7.09
2024-06-30,16.66,$3.07,5.43
2024-03-31,14.33,$1.98,7.22
2023-12-31,14.42,$1.20,12.02
2023-09-30,10.97,$0.20,54.9
2023-06-30,12.46,$-0.23,0.0
2023-03-31,14.92,$0.32,46.64
2022-12-31,12.66,$0.09,148.94
2022-09-30,6.51,$-0.42,0.0
2022-06-30,7.74,$-1.28,0.0
2022-03-31,9.37,$-1.52,0.0
2021-12-31,14.91,$-0.94,0.0
2021-09-30,18.8,$0.35,53.33
2021-06-30,20.11,$1.56,12.86
2021-03-31,14.38,$1.48,9.75
2020-12-31,13.42,$1.55,8.68
2020-09-30,9.19,$1.55,5.93
2020-06-30,7.9,$1.11,7.14
2020-03-31,6.13,$0.46,13.36
