OptimumBank Holdings Price to Free Cash Flow Ratio Historical Data,OptimumBank Holdings Price to Free Cash Flow Ratio Historical Data,OptimumBank Holdings Price to Free Cash Flow Ratio Historical Data,OptimumBank Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.22,,2.84
2024-12-31,4.76,$1.48,3.21
2024-09-30,4.57,$0.89,5.16
2024-06-30,4.3,$0.66,6.48
2024-03-31,4.29,$1.19,3.61
2023-12-31,4.18,$0.86,4.87
2023-09-30,3.18,$1.44,2.21
2023-06-30,2.88,$1.65,1.74
2023-03-31,3.31,$1.33,2.49
2022-12-31,4.09,$1.69,2.43
2022-09-30,4.07,$2.30,1.77
2022-06-30,4.0,$1.48,2.69
2022-03-31,4.21,$1.41,2.99
2021-12-31,3.93,$1.14,3.43
2021-09-30,5.18,$0.34,15.44
2021-06-30,4.82,$0.31,15.7
2021-03-31,3.87,$-0.21,0.0
2020-12-31,3.37,$-0.34,0.0
2020-09-30,2.72,$-0.45,0.0
2020-06-30,2.44,$-0.36,0.0
2020-03-31,2.49,$-0.31,0.0
2019-12-31,2.77,$-0.38,0.0
2019-09-30,2.99,$-0.95,0.0
2019-06-30,3.5,$-0.57,0.0
2019-03-31,3.95,$-0.16,0.0
2018-12-31,3.0,$-0.14,0.0
2018-09-30,5.08,$0.14,37.0
2018-06-30,4.5,$0.21,21.52
2018-03-31,4.23,$0.28,15.28
2017-12-31,4.7,$0.43,10.91
2017-09-30,2.08,$0.63,3.28
2017-06-30,2.99,$0.78,3.84
2017-03-31,3.15,$0.41,7.6
2016-12-31,3.78,$0.43,8.74
2016-09-30,4.75,$0.00,0.0
2016-06-30,3.75,$0.06,65.22
2016-03-31,4.67,$0.39,12.11
2015-12-31,3.72,$0.63,5.89
2015-09-30,10.7,$0.70,15.18
2015-06-30,9.9,$0.14,69.77
2015-03-31,8.9,$1.47,6.05
2014-12-31,10.51,$1.35,7.8
2014-09-30,12.8,$-0.92,0.0
2014-06-30,12.6,$-1.18,0.0
2014-03-31,11.2,$-2.88,0.0
2013-12-31,14.95,$-3.96,0.0
2013-09-30,15.8,$-2.92,0.0
2013-06-30,15.5,$-3.65,0.0
2013-03-31,19.2,$-3.33,0.0
2012-12-31,19.6,$-4.39,0.0
2012-09-30,24.6,$73.43,0.33
2012-06-30,25.64,$19.12,1.34
2012-03-31,140.8,$-8.86,0.0
2011-12-31,20.0,$-7.74,0.0
2011-09-30,30.4,$-135.82,0.0
2011-06-30,38.0,$57.92,0.66
2011-03-31,84.0,$85.81,0.98
2010-12-31,198.4,$81.37,2.44
2010-09-30,140.8,$125.62,1.12
2010-06-30,80.0,$-3.69,0.0
2010-03-31,137.6,$15.59,8.83
2009-12-31,347.2,$57.05,6.09
