Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,164.47,,5.02
2024-12-31,173.23,$32.73,5.29
2024-09-30,139.73,$35.81,3.9
2024-06-30,129.6,$37.42,3.46
2024-03-31,129.15,$33.06,3.91
2023-12-31,110.1,$32.52,3.39
2023-09-30,84.17,$29.20,2.88
2023-06-30,112.64,$25.64,4.39
2023-03-31,94.61,$25.51,3.71
2022-12-31,93.14,$24.87,3.75
2022-09-30,86.08,$21.68,3.97
2022-06-30,89.03,$21.32,4.18
2022-03-31,103.15,$20.54,5.02
2021-12-31,107.76,$19.42,5.55
2021-09-30,114.08,$20.30,5.62
2021-06-30,109.42,$18.89,5.79
2021-03-31,87.53,$18.85,4.64
2020-12-31,83.02,$19.33,4.29
2020-09-30,52.68,$18.45,2.85
2020-06-30,45.28,$17.00,2.66
2020-03-31,31.9,$16.87,1.89
2019-12-31,75.42,$18.48,4.08
2019-09-30,71.72,$16.13,4.45
2019-06-30,68.25,$18.18,3.75
2019-03-31,62.27,$17.86,3.49
2018-12-31,51.32,$14.31,3.59
2018-09-30,66.14,$16.55,4.0
2018-06-30,60.61,$16.03,3.78
2018-03-31,61.64,$14.16,4.35
2017-12-31,65.62,$13.34,4.92
2017-09-30,54.71,$12.22,4.48
2017-06-30,52.46,$11.34,4.63
2017-03-31,57.41,$10.29,5.58
2016-12-31,60.25,$10.46,5.76
2016-09-30,47.01,$9.68,4.86
2016-06-30,44.31,$9.06,4.89
2016-03-31,41.89,$8.80,4.76
2015-12-31,43.84,$8.42,5.21
2015-09-30,42.3,$8.24,5.13
2015-06-30,46.64,$7.88,5.92
2015-03-31,45.4,$7.93,5.72
2014-12-31,52.54,$7.95,6.61
2014-09-30,51.46,$7.79,6.61
2014-06-30,49.34,$6.37,7.75
2014-03-31,46.12,$6.17,7.48
2013-12-31,44.18,$6.75,6.55
2013-09-30,39.75,$4.87,8.16
2013-06-30,37.32,$-0.71,0.0
2013-03-31,34.98,$-1.12,0.0
2012-12-31,30.07,$-2.77,0.0
2012-11-30,32.34,$-2.73,0.0
2012-09-30,30.8,$3.46,8.9
2012-08-31,30.03,$4.00,7.51
2012-06-30,26.73,$4.62,5.78
2012-05-31,25.6,$-0.34,0.0
2012-03-31,25.7,$-0.85,0.0
2012-02-29,23.13,$-0.42,0.0
2011-11-30,18.28,0,0.0
2011-08-31,19.26,$0.03,583.69
2011-05-31,18.21,$-0.42,0.0
2011-02-28,16.57,$0.20,81.88
2010-11-30,13.91,$-0.00,0.0
2010-08-31,11.03,$-0.05,0.0
2010-05-31,10.21,$0.48,21.22
2010-02-28,10.35,$1.01,10.25
2009-11-30,11.71,0,0.0
