SandRidge Energy Price to Free Cash Flow Ratio Historical Data,SandRidge Energy Price to Free Cash Flow Ratio Historical Data,SandRidge Energy Price to Free Cash Flow Ratio Historical Data,SandRidge Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.68,,0.0
2024-12-31,11.71,$-2.17,0.0
2024-09-30,12.11,$-1.75,0.0
2024-06-30,12.7,$1.63,7.79
2024-03-31,14.19,$1.71,8.3
2023-12-31,11.73,$2.14,5.48
2023-09-30,13.34,$1.91,6.99
2023-06-30,12.91,$2.54,5.08
2023-03-31,10.8,$3.32,3.25
2022-12-31,12.77,$3.22,3.97
2022-09-30,12.23,$3.84,3.18
2022-06-30,11.75,$3.66,3.21
2022-03-31,12.01,$3.00,4.0
2021-12-31,7.84,$3.57,2.19
2021-09-30,9.75,$2.72,3.58
2021-06-30,4.71,$3.18,1.48
2021-03-31,2.93,$2.63,1.12
2020-12-31,2.32,$1.72,1.35
2020-09-30,1.24,$1.63,0.76
2020-06-30,0.97,$-0.01,0.0
2020-03-31,0.67,$-0.70,0.0
2019-12-31,3.18,$-1.93,0.0
2019-09-30,3.52,$-2.50,0.0
2019-06-30,5.19,$-2.05,0.0
2019-03-31,6.01,$-0.94,0.0
2018-12-31,5.71,$-1.08,0.0
2018-09-30,8.15,$-1.66,0.0
2018-06-30,13.3,$-2.17,0.0
2018-03-31,10.88,$-2.32,0.0
2017-12-31,15.8,$-1.98,0.0
2017-09-30,15.06,$-14.36,0.0
