Techprecision Price to Free Cash Flow Ratio Historical Data,Techprecision Price to Free Cash Flow Ratio Historical Data,Techprecision Price to Free Cash Flow Ratio Historical Data,Techprecision Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.59,,0.0
2024-09-30,3.14,$-0.17,0.0
2024-06-30,3.43,$-0.01,0.0
2024-03-31,3.61,$-0.22,0.0
