Hackett Price to Free Cash Flow Ratio Historical Data,Hackett Price to Free Cash Flow Ratio Historical Data,Hackett Price to Free Cash Flow Ratio Historical Data,Hackett Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.72,,18.48
2024-12-31,30.72,$1.55,19.77
2024-09-30,26.27,$1.75,15.02
2024-06-30,21.63,$1.64,13.2
2024-03-31,24.08,$1.42,16.92
2023-12-31,22.46,$1.20,18.64
2023-09-30,23.15,$1.05,22.05
2023-06-30,21.83,$1.11,19.75
2023-03-31,17.96,$1.39,12.95
2022-12-31,19.68,$1.70,11.59
2022-09-30,17.02,$1.53,11.12
2022-06-30,18.11,$1.44,12.56
2022-03-31,21.89,$1.31,16.76
2021-12-31,19.39,$1.31,14.79
2021-09-30,18.44,$1.12,16.43
2021-06-30,16.85,$1.20,14.07
2021-03-31,15.24,$1.28,11.91
2020-12-31,13.3,$1.30,10.22
2020-09-30,10.26,$1.38,7.44
2020-06-30,12.33,$1.35,9.12
2020-03-31,11.5,$1.19,9.69
2019-12-31,14.59,$1.16,12.53
2019-09-30,14.71,$0.88,16.7
2019-06-30,15.01,$0.87,17.17
2019-03-31,13.97,$0.40,34.87
2018-12-31,14.16,$0.70,20.1
2018-09-30,17.64,$0.71,24.98
2018-06-30,14.07,$0.74,19.13
2018-03-31,13.91,$0.99,14.1
2017-12-31,13.61,$0.62,21.92
2017-09-30,13.03,$0.77,17.02
2017-06-30,13.3,$0.89,14.89
2017-03-31,16.56,$1.00,16.49
2016-12-31,15.01,$0.91,16.57
2016-09-30,13.94,$1.08,12.86
2016-06-30,11.7,$1.07,10.92
2016-03-31,12.63,$1.07,11.75
2015-12-31,13.42,$1.04,12.94
2015-09-30,11.4,$1.08,10.54
2015-06-30,10.98,$0.88,12.5
2015-03-31,7.26,$0.77,9.41
2014-12-31,7.13,$0.52,13.61
2014-09-30,4.77,$0.48,10.0
2014-06-30,4.78,$0.42,11.51
2014-03-31,4.79,$0.48,9.9
2013-12-31,4.97,$0.73,6.83
2013-09-30,5.61,$0.46,12.09
2013-06-30,4.09,$0.50,8.16
2013-03-31,3.6,$0.59,6.08
2012-12-31,3.37,$0.51,6.6
2012-09-30,3.21,$0.66,4.88
2012-06-30,4.28,$0.54,7.93
2012-03-31,4.59,$0.40,11.36
2011-12-31,2.87,$0.37,7.82
2011-09-30,2.87,$0.09,32.41
2011-06-30,3.91,$0.23,16.88
2011-03-31,2.95,$0.22,13.53
2010-12-31,2.7,$0.38,7.12
2010-09-30,3.17,$0.16,19.54
2010-06-30,2.16,$0.02,126.98
2010-03-31,2.14,$-0.14,0.0
2009-12-31,2.14,$-0.30,0.0
