Meritage Homes Price to Free Cash Flow Ratio Historical Data,Meritage Homes Price to Free Cash Flow Ratio Historical Data,Meritage Homes Price to Free Cash Flow Ratio Historical Data,Meritage Homes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.47,,0.0
2024-12-31,153.82,$-3.49,0.0
2024-09-30,205.07,$-3.53,0.0
2024-06-30,161.25,$-0.88,0.0
2024-03-31,174.01,$3.76,46.3
2023-12-31,171.92,$4.29,40.11
2023-09-30,120.61,$13.45,8.97
2023-06-30,139.91,$12.58,11.13
2023-03-31,114.59,$6.58,17.4
2022-12-31,90.25,$5.10,17.68
2022-09-30,68.79,$-1.39,0.0
2022-06-30,70.97,$-3.28,0.0
2022-03-31,77.56,$-1.99,0.0
2021-12-31,119.48,$-2.32,0.0
2021-09-30,94.95,$-1.51,0.0
2021-06-30,92.1,$1.65,55.68
2021-03-31,89.98,$5.90,15.26
2020-12-31,81.07,$6.64,12.21
2020-09-30,108.06,$6.91,15.63
2020-06-30,74.51,$5.83,12.79
2020-03-31,35.74,$4.30,8.31
2019-12-31,59.82,$4.15,14.41
2019-09-30,68.87,$4.11,16.77
2019-06-30,50.26,$4.43,11.34
2019-03-31,43.77,$3.45,12.7
2018-12-31,35.95,$2.81,12.79
2018-09-30,39.06,$1.59,24.62
2018-06-30,43.02,$0.07,653.84
2018-03-31,44.3,$-0.50,0.0
2017-12-31,50.12,$-1.24,0.0
2017-09-30,43.46,$-1.74,0.0
2017-06-30,41.31,$-1.64,0.0
2017-03-31,36.02,$-1.42,0.0
2016-12-31,34.07,$-1.41,0.0
2016-09-30,33.97,$-1.34,0.0
2016-06-30,36.75,$-0.61,0.0
2016-03-31,35.69,$-0.73,0.0
2015-12-31,33.27,$-0.23,0.0
2015-09-30,35.75,$-0.61,0.0
2015-06-30,46.1,$-1.60,0.0
2015-03-31,47.61,$-1.64,0.0
2014-12-31,35.23,$-2.78,0.0
2014-09-30,34.75,$-3.52,0.0
2014-06-30,41.32,$-3.07,0.0
2014-03-31,41.0,$-2.82,0.0
2013-12-31,46.98,$-1.21,0.0
2013-09-30,42.04,$-1.97,0.0
2013-06-30,42.45,$-1.97,0.0
2013-03-31,45.87,$-2.45,0.0
2012-12-31,36.56,$-3.29,0.0
2012-09-30,37.23,$-2.33,0.0
2012-06-30,33.22,$-2.34,0.0
2012-03-31,26.49,$-1.73,0.0
2011-12-31,22.7,$-1.25,0.0
2011-09-30,14.82,$-0.98,0.0
2011-06-30,22.08,$-1.01,0.0
2011-03-31,23.62,$-0.65,0.0
2010-12-31,21.73,$0.41,53.45
2010-09-30,19.21,$0.94,20.34
2010-06-30,15.94,$0.89,17.99
2010-03-31,20.56,$1.29,15.93
2009-12-31,18.92,$2.88,6.57
