Ramaco Resources Price to Free Cash Flow Ratio Historical Data,Ramaco Resources Price to Free Cash Flow Ratio Historical Data,Ramaco Resources Price to Free Cash Flow Ratio Historical Data,Ramaco Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.0,,inf
2024-12-31,9.88,0.0,0.0
2024-09-30,10.76,0.0,0.0
2024-06-30,10.86,0.0,0.0
