RealReal Price to Free Cash Flow Ratio Historical Data,RealReal Price to Free Cash Flow Ratio Historical Data,RealReal Price to Free Cash Flow Ratio Historical Data,RealReal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.3,,851.35
2024-12-31,10.93,$0.01,0.0
2024-09-30,3.14,$-0.13,0.0
2024-06-30,3.19,$-0.33,0.0
2024-03-31,3.91,$-0.63,0.0
2023-12-31,2.01,$-1.02,0.0
2023-09-30,2.11,$-1.13,0.0
2023-06-30,2.22,$-1.12,0.0
2023-03-31,1.26,$-1.19,0.0
2022-12-31,1.25,$-1.34,0.0
2022-09-30,1.5,$-1.58,0.0
2022-06-30,2.49,$-1.92,0.0
2022-03-31,7.26,$-2.07,0.0
2021-12-31,11.61,$-2.07,0.0
2021-09-30,13.18,$-2.25,0.0
2021-06-30,19.76,$-1.93,0.0
2021-03-31,22.63,$-1.74,0.0
2020-12-31,19.54,$-1.84,0.0
2020-09-30,14.47,$-2.26,0.0
2020-06-30,12.79,$3.30,3.87
2020-03-31,7.01,$-2.59,0.0
