Grand Canyon Education Price to Free Cash Flow Ratio Historical Data,Grand Canyon Education Price to Free Cash Flow Ratio Historical Data,Grand Canyon Education Price to Free Cash Flow Ratio Historical Data,Grand Canyon Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,170.1,,19.7
2024-12-31,163.8,$8.63,18.97
2024-09-30,141.85,$7.84,18.1
2024-06-30,139.91,$7.63,18.34
2024-03-31,136.21,$7.39,18.42
2023-12-31,132.04,$6.61,19.99
2023-09-30,116.88,$6.19,18.89
2023-06-30,103.21,$6.26,16.5
2023-03-31,113.9,$5.71,19.93
2022-12-31,105.66,$5.76,18.35
2022-09-30,82.25,$0.63,131.56
2022-06-30,94.19,$6.31,14.94
2022-03-31,97.11,$6.54,14.85
2021-12-31,85.71,$6.47,13.25
2021-09-30,87.96,$9.50,9.26
2021-06-30,89.97,$5.76,15.61
2021-03-31,107.1,$6.00,17.84
2020-12-31,93.11,$5.92,15.72
2020-09-30,79.94,$5.86,13.63
2020-06-30,90.53,$6.59,13.73
2020-03-31,76.29,$6.06,12.58
2019-12-31,95.79,$5.88,16.28
2019-09-30,98.2,$6.99,14.04
2019-06-30,117.02,$4.54,25.78
2019-03-31,114.51,$1.91,59.94
2018-12-31,96.14,$2.15,44.66
2018-09-30,112.8,$0.06,1801.92
2018-06-30,111.61,$3.55,31.42
2018-03-31,104.92,$3.82,27.5
2017-12-31,89.53,$3.75,23.87
2017-09-30,90.82,$3.49,25.99
2017-06-30,78.41,$2.10,37.36
2017-03-31,71.61,$1.01,70.87
2016-12-31,58.45,$-0.03,0.0
2016-09-30,40.39,$-0.40,0.0
2016-06-30,39.92,$-0.66,0.0
2016-03-31,42.74,$-0.55,0.0
2015-12-31,40.12,$-0.70,0.0
2015-09-30,37.99,$-0.38,0.0
2015-06-30,42.4,$-0.83,0.0
2015-03-31,43.3,$-0.12,0.0
2014-12-31,46.66,$-0.04,0.0
2014-09-30,40.77,$0.19,209.72
2014-06-30,45.97,$0.72,63.94
2014-03-31,46.7,$0.76,61.19
2013-12-31,43.6,$0.54,80.59
2013-09-30,40.24,$0.44,92.27
2013-06-30,32.23,$0.20,157.68
2013-03-31,25.39,$0.46,55.28
2012-12-31,23.47,$0.87,27.01
2012-09-30,23.53,$1.19,19.78
2012-06-30,20.94,$0.82,25.42
2012-03-31,17.76,$0.73,24.43
2011-12-31,15.96,$0.16,97.08
2011-09-30,16.15,$-1.28,0.0
2011-06-30,14.18,$-0.66,0.0
2011-03-31,14.5,$-1.10,0.0
2010-12-31,19.59,$-0.48,0.0
2010-09-30,21.93,$0.63,34.95
2010-06-30,23.43,$0.62,37.64
2010-03-31,26.14,$0.13,202.48
2009-12-31,19.01,$0.02,960.1
