Key Tronic Price to Free Cash Flow Ratio Historical Data,Key Tronic Price to Free Cash Flow Ratio Historical Data,Key Tronic Price to Free Cash Flow Ratio Historical Data,Key Tronic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.78,,2.12
2024-12-31,4.17,$1.31,3.17
2024-09-30,5.72,$1.34,4.27
2024-06-30,4.05,$0.91,4.44
2024-03-31,4.66,$0.52,8.97
2023-12-31,4.32,$0.13,34.5
2023-09-30,4.47,$-0.52,0.0
2023-06-30,5.67,$-1.75,0.0
2023-03-31,7.27,$-1.66,0.0
2022-12-31,4.33,$-1.14,0.0
2022-09-30,4.04,$-0.34,0.0
2022-06-30,4.41,$-1.06,0.0
2022-03-31,5.65,$-1.35,0.0
2021-12-31,6.26,$-1.44,0.0
2021-09-30,6.5,$-2.66,0.0
2021-06-30,6.52,$-2.32,0.0
2021-03-31,7.71,$-2.57,0.0
2020-12-31,6.9,$-4.48,0.0
2020-09-30,9.85,$-3.57,0.0
2020-06-30,5.3,$-3.60,0.0
2020-03-31,2.91,$-3.89,0.0
2019-12-31,5.44,$-1.10,0.0
2019-09-30,6.35,$-1.74,0.0
2019-06-30,4.98,$-0.69,0.0
2019-03-31,6.17,$-0.43,0.0
2018-12-31,5.65,$-1.03,0.0
2018-09-30,7.65,$-0.25,0.0
2018-06-30,7.58,$-0.03,0.0
2018-03-31,6.96,$-0.41,0.0
2017-12-31,6.82,$-0.21,0.0
2017-09-30,7.21,$-0.08,0.0
2017-06-30,7.09,$-0.57,0.0
2017-03-31,7.34,$0.24,30.47
2016-12-31,7.82,$-0.42,0.0
2016-09-30,7.45,$-0.51,0.0
2016-06-30,7.53,$-0.10,0.0
2016-03-31,7.15,$-0.21,0.0
2015-12-31,7.6,$0.45,16.8
2015-09-30,10.02,$0.89,11.24
2015-06-30,10.87,$0.66,16.36
2015-03-31,10.76,$0.18,60.45
2014-12-31,7.94,$0.10,75.69
2014-09-30,10.57,$-0.62,0.0
2014-06-30,10.48,$-0.56,0.0
2014-03-31,10.42,$0.46,22.81
2013-12-31,11.02,$1.08,10.18
2013-09-30,10.29,$1.67,6.17
2013-06-30,10.35,$2.30,4.51
2013-03-31,11.46,$1.74,6.6
2012-12-31,10.24,$0.22,46.11
2012-09-30,9.92,$0.18,54.0
2012-06-30,8.24,$-0.90,0.0
2012-03-31,9.47,$-0.16,0.0
2011-12-31,4.69,$0.72,6.56
2011-09-30,3.46,$-0.33,0.0
2011-06-30,4.56,$-0.61,0.0
2011-03-31,5.01,$-2.00,0.0
2010-12-31,5.22,$-2.37,0.0
2010-09-30,5.95,$-1.20,0.0
2010-06-30,5.15,$0.02,227.88
2010-03-31,5.15,$1.42,3.63
2009-12-31,3.85,$1.69,2.28
