Veritone Price to Free Cash Flow Ratio Historical Data,Veritone Price to Free Cash Flow Ratio Historical Data,Veritone Price to Free Cash Flow Ratio Historical Data,Veritone Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.71,,0.0
2024-09-30,3.59,$-1.57,0.0
2024-06-30,2.26,$-1.37,0.0
2024-03-31,5.26,$-0.87,0.0
2023-12-31,1.81,$-2.21,0.0
2023-09-30,2.58,$-0.65,0.0
2023-06-30,3.92,$-1.51,0.0
2023-03-31,5.83,$-1.26,0.0
2022-12-31,5.3,$-0.03,0.0
2022-09-30,5.63,$-0.48,0.0
2022-06-30,6.53,$0.04,148.41
2022-03-31,18.28,$0.26,69.85
2021-12-31,22.48,$0.19,120.41
2021-09-30,23.89,$-0.12,0.0
2021-06-30,19.71,$0.11,178.53
2021-03-31,23.98,$0.18,131.98
2020-12-31,28.45,$0.05,597.69
2020-09-30,9.16,$-0.53,0.0
2020-06-30,14.86,$-0.70,0.0
2020-03-31,2.33,$-1.11,0.0
2019-12-31,2.49,$-1.41,0.0
2019-09-30,3.57,$-1.89,0.0
2019-06-30,8.36,$-1.91,0.0
2019-03-31,5.2,$-1.90,0.0
2018-12-31,3.8,$-2.59,0.0
2018-09-30,10.43,$-3.31,0.0
2018-06-30,16.82,$-2.70,0.0
2018-03-31,13.92,$-4.08,0.0
