NCR Voyix Price to Free Cash Flow Ratio Historical Data,NCR Voyix Price to Free Cash Flow Ratio Historical Data,NCR Voyix Price to Free Cash Flow Ratio Historical Data,NCR Voyix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.27,,0.0
2024-12-31,13.84,$-2.41,0.0
2024-09-30,13.57,$-1.70,0.0
2024-06-30,12.35,$-0.80,0.0
2024-03-31,12.63,$0.01,0.0
2023-12-31,16.91,$2.31,7.32
2023-09-30,26.97,$3.74,7.21
2023-06-30,25.2,$3.25,7.75
2023-03-31,23.59,$2.38,9.91
2022-12-31,23.41,$0.44,53.34
2022-09-30,19.01,$0.68,27.89
2022-06-30,31.11,$3.37,9.23
2022-03-31,40.19,$4.04,9.95
2021-12-31,40.2,$5.05,7.97
2021-09-30,38.76,$4.78,8.11
2021-06-30,45.61,$3.13,14.56
2021-03-31,37.95,$3.83,9.9
2020-12-31,37.57,$3.00,12.53
2020-09-30,22.14,$4.37,5.07
2020-06-30,17.32,$3.71,4.67
2020-03-31,17.7,$2.70,6.55
2019-12-31,35.16,$2.18,16.16
2019-09-30,31.56,$2.81,11.25
2019-06-30,31.1,$2.36,13.16
2019-03-31,27.29,$2.32,11.78
2018-12-31,23.08,$2.21,10.43
2018-09-30,28.41,$2.74,10.37
2018-06-30,29.98,$3.09,9.7
2018-03-31,31.52,$2.99,10.53
2017-12-31,33.99,$3.65,9.3
2017-09-30,37.52,$4.29,8.75
2017-06-30,40.84,$4.93,8.29
2017-03-31,45.68,$5.20,8.78
2016-12-31,40.56,$5.18,7.83
2016-09-30,32.19,$2.69,11.95
2016-06-30,27.77,$2.31,12.04
2016-03-31,29.93,$2.52,11.88
2015-12-31,24.46,$2.81,8.7
2015-09-30,22.75,$2.80,8.12
2015-06-30,30.1,$2.53,11.92
2015-03-31,29.51,$1.93,15.31
2014-12-31,29.14,$1.56,18.68
2014-09-30,33.41,$1.36,24.49
2014-06-30,35.09,$0.80,43.82
2014-03-31,36.55,$0.32,113.33
2013-12-31,34.06,$0.38,88.72
2013-09-30,39.61,$-0.46,0.0
2013-06-30,32.99,$-2.97,0.0
2013-03-31,27.56,$-2.53,0.0
2012-12-31,25.48,$-2.03,0.0
2012-09-30,23.31,$-0.81,0.0
2012-06-30,22.73,$1.68,13.56
2012-03-31,21.71,$1.89,11.51
2011-12-31,16.46,$1.69,9.74
2011-09-30,16.89,$1.82,9.26
2011-06-30,18.89,$1.54,12.27
2011-03-31,18.84,$1.53,12.29
2010-12-31,15.37,$1.19,12.9
2010-09-30,13.63,$-0.10,0.0
2010-06-30,12.12,$0.46,26.62
2010-03-31,13.8,$0.35,39.59
2009-12-31,11.13,$0.61,18.18
