Eos Energy Enterprises Price to Free Cash Flow Ratio Historical Data,Eos Energy Enterprises Price to Free Cash Flow Ratio Historical Data,Eos Energy Enterprises Price to Free Cash Flow Ratio Historical Data,Eos Energy Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.26,,0.0
2024-12-31,4.86,$-0.88,0.0
2024-09-30,2.97,$-1.15,0.0
2024-06-30,1.27,$-1.01,0.0
2024-03-31,1.03,$-1.21,0.0
2023-12-31,1.09,$-1.37,0.0
2023-09-30,2.15,$-1.48,0.0
2023-06-30,4.34,$-2.45,0.0
2023-03-31,2.57,$-2.97,0.0
2022-12-31,1.48,$-3.47,0.0
2022-09-30,1.67,$-3.61,0.0
2022-06-30,1.21,$-3.17,0.0
2022-03-31,4.18,$-3.11,0.0
2021-12-31,7.52,$-2.50,0.0
2021-09-30,14.03,$-1.80,0.0
2021-06-30,17.96,$-3.68,0.0
2021-03-31,19.72,$-3.48,0.0
