Limoneira Co Price to Free Cash Flow Ratio Historical Data,Limoneira Co Price to Free Cash Flow Ratio Historical Data,Limoneira Co Price to Free Cash Flow Ratio Historical Data,Limoneira Co Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.6,,69.16
2025-01-31,23.06,$0.25,90.61
2024-10-31,25.64,$0.54,47.9
2024-07-31,21.98,$0.04,523.28
2024-04-30,19.65,$-1.01,0.0
2024-01-31,17.95,$-0.66,0.0
2023-10-31,14.09,$4.26,3.31
2023-07-31,15.23,$6.16,2.47
2023-04-30,16.31,$6.45,2.53
2023-01-31,12.76,$6.60,1.93
2022-10-31,11.52,$1.82,6.32
2022-07-31,12.17,$-0.30,0.0
2022-04-30,11.41,$-0.20,0.0
2022-01-31,14.12,$-0.23,0.0
2021-10-31,15.25,$-0.01,0.0
2021-07-31,16.85,$0.64,26.16
2021-04-30,16.92,$0.28,60.94
2021-01-31,14.9,$-0.28,0.0
2020-10-31,12.85,$-0.89,0.0
2020-07-31,12.46,$-1.02,0.0
2020-04-30,12.27,$-1.41,0.0
2020-01-31,17.84,$-0.79,0.0
2019-10-31,17.22,$-0.43,0.0
2019-07-31,17.94,$-1.05,0.0
2019-04-30,20.62,$-0.06,0.0
2019-01-31,19.83,$0.11,184.14
2018-10-31,22.11,$0.29,77.51
2018-07-31,24.39,$0.55,44.15
2018-04-30,20.77,$0.72,28.86
2018-01-31,19.18,$0.49,39.23
2017-10-31,20.72,$0.39,53.15
2017-07-31,20.15,$0.72,27.88
2017-04-30,18.27,$0.76,23.88
2017-01-31,14.97,$0.19,80.73
2016-10-31,17.3,$-0.14,0.0
2016-07-31,15.5,$-0.73,0.0
2016-04-30,15.63,$-1.33,0.0
2016-01-31,10.95,$-1.35,0.0
2015-10-31,13.76,$-1.48,0.0
2015-07-31,17.82,$-1.85,0.0
2015-04-30,19.81,$-1.48,0.0
2015-01-31,17.92,$-0.98,0.0
2014-10-31,22.07,$-0.70,0.0
2014-07-31,18.93,$-0.26,0.0
2014-04-30,19.68,$-0.06,0.0
2014-01-31,17.77,$-0.40,0.0
2013-10-31,22.5,$-0.37,0.0
2013-07-31,19.14,$0.13,151.43
2013-04-30,15.86,$-0.35,0.0
2013-01-31,18.48,$-0.18,0.0
2012-10-31,19.06,$-0.17,0.0
2012-07-31,15.15,$0.13,119.69
2012-04-30,14.2,$0.07,191.17
2012-01-31,15.16,$-0.00,0.0
2011-10-31,14.61,$-0.03,0.0
2011-07-31,17.41,$-0.01,0.0
2011-04-30,18.46,$0.04,415.85
2011-01-31,18.85,$0.12,155.27
2010-10-31,16.94,$0.14,122.47
2010-07-31,15.24,$0.76,20.13
2010-04-30,14.22,$0.39,36.89
2010-01-31,11.43,$-0.61,0.0
