On Holding AG Price to Free Cash Flow Ratio Historical Data,On Holding AG Price to Free Cash Flow Ratio Historical Data,On Holding AG Price to Free Cash Flow Ratio Historical Data,On Holding AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.56,,57.96
2024-12-31,54.77,$0.79,69.67
2024-09-30,50.15,$0.52,96.15
2024-06-30,38.8,$0.25,158.37
2024-03-31,35.38,$-0.04,0.0
2023-06-30,33.0,$-0.26,0.0
2023-03-31,31.03,$-0.36,0.0
2022-12-31,17.16,$-0.47,0.0
2022-09-30,16.05,$-0.36,0.0
