Kaixin Holdings Price to Free Cash Flow Ratio Historical Data,Kaixin Holdings Price to Free Cash Flow Ratio Historical Data,Kaixin Holdings Price to Free Cash Flow Ratio Historical Data,Kaixin Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.0,,0.0
2019-12-31,1683.0,$-370.86,0.0
2019-03-31,6464.25,$-412.00,0.0
2018-12-31,9090.0,$-377.77,0.0
2018-09-30,9072.0,$-9.91,0.0
