ZW Data Action Technologies Price to Free Cash Flow Ratio Historical Data,ZW Data Action Technologies Price to Free Cash Flow Ratio Historical Data,ZW Data Action Technologies Price to Free Cash Flow Ratio Historical Data,ZW Data Action Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.49,,0.0
2024-09-30,4.4,$-0.96,0.0
2024-06-30,3.04,$-1.25,0.0
2024-03-31,4.08,$-0.84,0.0
2023-12-31,3.32,$-1.16,0.0
2023-09-30,3.64,$-0.21,0.0
2023-06-30,5.08,$-1.06,0.0
2023-03-31,6.8,$-1.80,0.0
2022-12-31,9.2,$-1.79,0.0
2022-09-30,18.44,$-4.09,0.0
2022-06-30,6.79,$-3.38,0.0
2022-03-31,14.6,$-3.45,0.0
2021-12-31,20.0,$-5.54,0.0
2021-09-30,25.2,$-4.15,0.0
2021-06-30,40.0,$-4.14,0.0
2021-03-31,52.8,$-3.78,0.0
2020-12-31,27.0,$0.30,88.64
2020-09-30,40.4,$0.42,95.13
2020-06-30,20.0,$-1.13,0.0
2020-03-31,19.0,$-0.78,0.0
2019-12-31,23.3,$-5.03,0.0
2019-09-30,26.0,$-7.06,0.0
2019-06-30,26.99,$-4.19,0.0
2019-03-31,39.0,$-5.47,0.0
2018-12-31,26.8,$-6.81,0.0
2018-09-30,34.6,$-2.44,0.0
2018-06-30,50.4,$-5.51,0.0
2018-03-31,33.38,$-2.94,0.0
2017-12-31,21.8,$-2.19,0.0
2017-09-30,20.0,$-2.12,0.0
2017-06-30,24.8,$-3.60,0.0
2017-03-31,22.6,$-5.18,0.0
2016-12-31,20.0,$-1.25,0.0
2016-09-30,36.0,$4.73,7.62
2016-06-30,27.5,$8.71,3.16
2016-03-31,35.0,$15.03,2.33
2015-12-31,41.5,$10.04,4.13
2015-09-30,41.56,$8.21,5.06
2015-06-30,64.5,$7.44,8.67
2015-03-31,80.5,$2.38,33.88
2014-12-31,57.5,$3.74,15.36
2014-09-30,167.5,$-2.81,0.0
2014-06-30,41.0,$4.04,10.14
2014-03-31,87.0,$3.95,22.0
2013-12-31,42.0,$6.01,6.99
2013-09-30,29.52,$11.62,2.54
2013-06-30,29.5,$8.09,3.65
2013-03-31,42.5,$8.83,4.81
2012-12-31,41.5,$10.62,3.91
2012-09-30,20.01,$-20.44,0.0
2012-06-30,34.98,$-11.08,0.0
2012-03-31,49.5,$-11.82,0.0
2011-12-31,55.0,$-3.58,0.0
2011-09-30,55.5,$21.39,2.59
2011-06-30,73.0,$20.54,3.55
2011-03-31,182.0,$33.82,5.38
2010-12-31,226.5,$25.32,8.95
2010-09-30,207.0,$24.47,8.46
2010-06-30,178.5,$27.21,6.56
