Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data,Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data,Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data,Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.9,,13.15
2024-12-31,108.06,$7.52,14.36
2024-09-30,95.87,$7.96,12.04
2024-06-30,75.52,$7.62,9.91
2024-03-31,80.49,$7.23,11.14
2023-12-31,57.48,$7.24,7.94
2023-09-30,58.12,$6.65,8.74
2023-06-30,55.35,$6.51,8.5
2023-03-31,44.14,$5.53,7.98
2022-12-31,40.4,$5.13,7.88
2022-09-30,32.63,$4.68,6.97
2022-06-30,36.96,$4.26,8.67
2022-03-31,37.53,$4.78,7.85
2021-12-31,34.57,$4.30,8.04
2021-09-30,33.41,$4.47,7.47
2021-06-30,37.41,$4.09,9.15
2021-03-31,38.28,$3.77,10.15
2020-12-31,40.23,$3.91,10.28
2020-09-30,32.64,$3.70,8.83
2020-06-30,34.0,$4.03,8.45
2020-03-31,30.0,$5.20,5.76
2019-12-31,44.25,$5.49,8.06
2019-09-30,42.95,$5.86,7.33
2019-06-30,42.17,$6.14,6.87
2019-03-31,40.73,$5.86,6.95
2018-12-31,39.69,$5.50,7.22
2018-09-30,46.87,$4.93,9.51
2018-06-30,36.37,$4.59,7.93
2018-03-31,34.97,$4.15,8.42
2017-12-31,38.41,$3.78,10.16
2017-09-30,33.34,$3.89,8.57
2017-06-30,33.18,$3.20,10.36
2017-03-31,31.77,$3.07,10.34
2016-12-31,29.56,$3.08,9.61
2016-09-30,25.04,$3.07,8.16
2016-06-30,24.51,$3.25,7.55
2016-03-31,23.3,$3.11,7.49
2015-12-31,22.21,$2.95,7.53
2015-09-30,22.77,$2.84,8.01
2015-06-30,24.84,$2.85,8.7
2015-03-31,26.98,$2.81,9.59
2014-12-31,28.5,$2.79,10.2
2014-09-30,23.85,$2.70,8.82
2014-06-30,25.93,$2.44,10.61
2014-03-31,24.86,$2.32,10.73
2013-12-31,22.83,$2.07,11.03
2013-09-30,20.62,$1.89,10.89
2013-06-30,18.9,$1.85,10.19
2013-03-31,19.56,$1.67,11.69
2012-12-31,16.59,$2.01,8.27
