Golden Minerals Price to Free Cash Flow Ratio Historical Data,Golden Minerals Price to Free Cash Flow Ratio Historical Data,Golden Minerals Price to Free Cash Flow Ratio Historical Data,Golden Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-27,0.1,,0.0
2024-09-30,0.27,$-0.49,0.0
2024-06-30,0.42,$-0.63,0.0
2024-03-31,0.42,$-0.61,0.0
2023-12-31,0.52,$-0.90,0.0
2023-09-30,0.64,$-1.28,0.0
2023-06-30,1.62,$-1.51,0.0
2023-03-31,5.08,$-1.75,0.0
2022-12-31,6.86,$-1.44,0.0
2022-09-30,6.45,$-0.65,0.0
2022-06-30,8.93,$0.29,30.42
2022-03-31,12.52,$0.59,21.35
2021-12-31,8.73,$-0.03,0.0
2021-09-30,10.8,$-0.72,0.0
2021-06-30,15.36,$-1.41,0.0
2021-03-31,16.48,$-1.59,0.0
2020-12-31,19.0,$-1.79,0.0
2020-09-30,10.5,$-0.99,0.0
2020-06-30,10.75,$-1.11,0.0
2020-03-31,5.25,$-0.85,0.0
2019-12-31,7.75,$-0.32,0.0
2019-09-30,6.1,$-1.16,0.0
2019-06-30,7.08,$-0.26,0.0
2019-03-31,6.78,$-0.42,0.0
2018-12-31,5.47,$-0.20,0.0
2018-09-30,5.12,$-0.24,0.0
2018-06-30,8.54,$-0.50,0.0
2018-03-31,10.05,$-0.14,0.0
2017-12-31,10.8,$-0.26,0.0
2017-09-30,12.0,$-0.15,0.0
2017-06-30,14.03,$-0.58,0.0
2017-03-31,15.79,$-1.08,0.0
2016-12-31,14.5,$-1.56,0.0
2016-09-30,18.89,$-1.92,0.0
2016-06-30,16.28,$-2.96,0.0
2016-03-31,11.25,$-3.89,0.0
2015-12-31,5.0,$-4.34,0.0
2015-09-30,6.95,$-6.97,0.0
2015-06-30,8.79,$-7.21,0.0
2015-03-31,10.23,$-8.59,0.0
2014-12-31,13.5,$-9.80,0.0
2014-09-30,16.0,$-9.18,0.0
2014-06-30,28.75,$-11.42,0.0
2014-03-31,20.91,$-12.36,0.0
2013-12-31,11.8,$-14.86,0.0
2013-09-30,23.75,$-17.56,0.0
2013-06-30,34.0,$-17.96,0.0
2013-03-31,59.5,$-20.79,0.0
2012-12-31,114.75,$-27.45,0.0
2012-09-30,130.5,$-43.94,0.0
2012-06-30,112.75,$-45.16,0.0
2012-03-31,210.75,$-71.00,0.0
2011-12-31,145.25,$-87.62,0.0
2011-09-30,186.0,$-99.62,0.0
2011-06-30,444.5,$-121.15,0.0
2011-03-31,549.0,$-94.73,0.0
2010-12-31,667.5,$-87.94,0.0
2010-09-30,388.25,$-102.89,0.0
2010-06-30,203.75,$-114.70,0.0
2010-03-31,198.75,$-346.36,0.0
