Sezzle Price to Free Cash Flow Ratio Historical Data,Sezzle Price to Free Cash Flow Ratio Historical Data,Sezzle Price to Free Cash Flow Ratio Historical Data,Sezzle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,231.96,,33.98
2024-12-31,255.8,$6.83,37.48
2024-09-30,170.59,$4.09,41.72
2024-06-30,88.22,$1.14,77.53
