Tapestry Price to Free Cash Flow Ratio Historical Data,Tapestry Price to Free Cash Flow Ratio Historical Data,Tapestry Price to Free Cash Flow Ratio Historical Data,Tapestry Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,72.91,,19.48
2024-12-31,65.33,$3.74,17.45
2024-09-30,46.72,$5.08,9.19
2024-06-30,42.18,$4.92,8.58
2024-03-31,46.81,$5.50,8.5
2023-12-31,36.02,$5.53,6.52
2023-09-30,27.84,$4.31,6.45
2023-06-30,40.99,$3.28,12.51
2023-03-31,41.0,$2.55,16.1
2022-12-31,35.96,$2.11,17.02
2022-09-30,26.63,$2.05,12.98
2022-06-30,28.34,$2.81,10.08
2022-03-31,34.25,$3.24,10.57
2021-12-31,37.2,$3.94,9.44
2021-09-30,33.72,$3.99,8.44
2021-06-30,39.36,$4.35,9.04
2021-03-31,37.3,$2.88,12.93
2020-12-31,28.13,$1.70,16.56
2020-09-30,14.15,$1.27,11.13
2020-06-30,12.02,$0.72,16.61
2020-03-31,11.72,$1.33,8.8
2019-12-31,24.05,$1.71,14.06
2019-09-30,22.92,$1.80,12.7
2019-06-30,27.52,$1.78,15.44
2019-03-31,27.86,$2.59,10.75
2018-12-31,28.65,$3.13,9.17
2018-09-30,42.3,$2.81,15.06
2018-06-30,39.04,$2.53,15.43
2018-03-31,43.65,$2.20,19.82
2017-12-31,36.46,$2.35,15.53
2017-09-30,32.94,$2.31,14.28
2017-06-30,38.39,$2.46,15.58
2017-03-31,33.28,$2.10,15.82
2016-12-31,27.95,$1.99,14.02
2016-09-30,28.93,$1.14,25.31
2016-06-30,31.95,$1.30,24.64
2016-03-31,31.17,$1.24,25.18
2015-12-31,25.23,$1.32,19.07
2015-09-30,22.06,$2.09,10.58
2015-06-30,26.09,$2.66,9.8
2015-03-31,30.94,$3.15,9.81
2014-12-31,27.83,$2.93,9.51
2014-09-30,26.13,$2.67,9.78
2014-06-30,24.87,$2.73,9.11
2014-03-31,35.81,$2.84,12.6
2013-12-31,40.19,$3.23,12.44
2013-09-30,38.82,$4.01,9.69
2013-06-30,40.38,$4.10,9.86
2013-03-31,35.15,$3.80,9.26
2012-12-31,38.8,$3.43,11.33
2012-09-30,38.96,$3.38,11.54
2012-06-30,40.46,$3.53,11.47
2012-03-31,53.24,$3.36,15.83
2011-12-31,41.92,$3.77,11.12
2011-09-30,35.47,$3.08,11.52
2011-06-30,43.57,$2.94,14.84
2011-03-31,35.34,$2.86,12.36
2010-12-31,37.46,$2.87,13.03
2010-09-30,29.02,$2.71,10.72
2010-06-30,24.59,$2.88,8.54
2010-03-31,26.49,$3.15,8.4
2009-12-31,24.44,$3.51,6.96
