Phoenix Motor Price to Free Cash Flow Ratio Historical Data,Phoenix Motor Price to Free Cash Flow Ratio Historical Data,Phoenix Motor Price to Free Cash Flow Ratio Historical Data,Phoenix Motor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.6,,0.0
2024-09-30,0.38,$-0.13,0.0
2024-06-30,0.34,$-0.11,0.0
2024-03-31,0.8,$-0.24,0.0
2023-12-31,1.05,$-0.18,0.0
2023-09-30,1.09,$-0.19,0.0
2023-06-30,0.74,$-0.47,0.0
2023-03-31,0.6,$-0.86,0.0
