Atai Life Sciences Price to Free Cash Flow Ratio Historical Data,Atai Life Sciences Price to Free Cash Flow Ratio Historical Data,Atai Life Sciences Price to Free Cash Flow Ratio Historical Data,Atai Life Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.37,,0.0
2024-12-31,1.33,$-0.51,0.0
2024-09-30,1.16,$-0.54,0.0
2024-06-30,1.33,$-0.49,0.0
2024-03-31,1.97,$-0.54,0.0
2023-12-31,1.41,$-0.53,0.0
2023-09-30,1.29,$-0.55,0.0
2023-06-30,1.72,$-0.66,0.0
2023-03-31,1.81,$-0.66,0.0
2022-12-31,2.66,$-0.68,0.0
2022-09-30,3.31,$-0.65,0.0
2022-06-30,3.64,$-0.65,0.0
2022-03-31,5.09,$-0.62,0.0
