Kite Realty Group Trust Price to Free Cash Flow Ratio Historical Data,Kite Realty Group Trust Price to Free Cash Flow Ratio Historical Data,Kite Realty Group Trust Price to Free Cash Flow Ratio Historical Data,Kite Realty Group Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.41,,11.67
2024-12-31,25.24,$1.92,13.14
2024-09-30,26.29,$1.92,13.7
2024-06-30,21.9,$1.95,11.23
2024-03-31,20.96,$2.09,10.02
2023-12-31,21.86,$2.08,10.5
2023-09-30,20.24,$2.16,9.38
2023-06-30,20.89,$2.07,10.08
2023-03-31,19.33,$1.60,12.06
2022-12-31,19.23,$1.64,11.72
2022-09-30,15.54,$0.21,74.28
2022-06-30,15.42,$0.40,38.21
2022-03-31,20.12,$0.39,51.11
2021-12-31,19.08,$1.02,18.63
2021-09-30,17.84,$0.68,26.33
2021-06-30,18.95,$0.58,32.48
2021-03-31,16.46,$0.79,20.87
2020-12-31,12.64,$0.18,71.06
2020-09-30,9.72,$2.04,4.77
2020-06-30,9.64,$3.77,2.56
2020-03-31,7.91,$6.39,1.24
2019-12-31,15.83,$6.62,2.39
2019-09-30,12.87,$6.43,2.0
2019-06-30,11.82,$4.76,2.48
2019-03-31,12.25,$3.19,3.83
2018-12-31,10.34,$3.75,2.76
2018-09-30,11.98,$3.02,3.96
2018-06-30,12.06,$2.93,4.12
2018-03-31,10.54,$2.43,4.34
2017-12-31,13.34,$1.89,7.05
2017-09-30,13.58,$1.92,7.06
2017-06-30,12.5,$1.91,6.53
2017-03-31,13.99,$1.19,11.79
2016-12-31,15.09,$0.90,16.81
2016-09-30,17.62,$1.27,13.83
2016-06-30,17.64,$1.48,11.91
2016-03-31,17.26,$1.33,13.0
2015-12-31,15.98,$2.95,5.41
2015-09-30,14.5,$4.94,2.93
2015-06-30,14.74,$3.77,3.91
2015-03-31,16.81,$3.54,4.74
2014-12-31,17.0,$2.38,7.13
2014-09-30,14.18,$-1.19,0.0
2014-06-30,14.37,$-0.48,0.0
2014-03-31,13.74,$-0.62,0.0
2013-12-31,14.91,$-2.25,0.0
2013-09-30,13.32,$-2.37,0.0
2013-06-30,13.41,$-2.44,0.0
2013-03-31,14.86,$-2.71,0.0
2012-12-31,12.19,$-0.21,0.0
2012-09-30,10.99,$0.80,13.74
2012-06-30,10.63,$0.01,0.0
2012-03-31,11.1,$0.02,698.0
2011-12-31,9.38,$-1.88,0.0
2011-09-30,7.49,$-1.94,0.0
2011-06-30,10.07,$-1.07,0.0
2011-03-31,10.62,$-0.66,0.0
2010-12-31,10.7,$-0.55,0.0
2010-09-30,8.67,$-0.89,0.0
2010-06-30,8.04,$-1.21,0.0
2010-03-31,8.99,$-0.79,0.0
2009-12-31,7.62,$-1.21,0.0
