Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,139.43,,12.83
2024-12-31,177.98,$10.87,16.38
2024-09-30,246.88,$9.62,25.67
2024-06-30,209.66,$8.88,23.6
2024-03-31,225.09,$9.13,24.65
2023-12-31,247.77,$8.88,27.89
2023-09-30,194.86,$7.78,25.06
2023-06-30,239.76,$6.88,34.85
2023-03-31,250.59,$5.86,42.76
2022-12-31,246.59,$5.57,44.25
2022-09-30,198.69,$8.17,24.33
2022-06-30,242.15,$8.89,27.24
2022-03-31,349.06,$11.34,30.77
2021-12-31,322.83,$12.24,26.37
2021-09-30,369.7,$11.94,30.97
2021-06-30,394.11,$10.12,38.93
2021-03-31,407.17,$9.91,41.1
2020-12-31,403.01,$7.33,55.01
2020-09-30,333.02,$6.77,49.19
2020-06-30,355.75,$7.25,49.08
2020-03-31,285.95,$5.95,48.04
2019-12-31,367.18,$7.41,49.58
2019-09-30,331.07,$6.71,49.34
2019-06-30,322.39,$6.60,48.87
2019-03-31,293.83,$6.85,42.9
2018-12-31,251.06,$7.57,33.16
2018-09-30,258.11,$7.06,36.58
2018-06-30,259.78,$7.20,36.11
2018-03-31,246.65,$7.33,33.66
2017-12-31,240.35,$7.62,31.56
2017-09-30,233.43,$7.54,30.97
2017-06-30,200.09,$7.56,26.46
2017-03-31,186.26,$8.08,23.06
2016-12-31,154.66,$7.50,20.62
2016-09-30,160.9,$8.13,19.79
2016-06-30,169.45,$6.92,24.49
2016-03-31,149.74,$5.68,26.36
2015-12-31,125.07,$5.04,24.84
2015-09-30,117.88,$3.95,29.86
2015-06-30,128.21,$4.41,29.11
2015-03-31,114.07,$4.73,24.11
2014-12-31,108.09,$4.79,22.56
2014-09-30,98.59,$5.52,17.87
2014-06-30,98.8,$5.41,18.27
2014-03-31,100.01,$4.73,21.14
2013-12-31,87.24,$3.84,22.73
2013-09-30,76.21,$2.80,27.23
2013-06-30,71.46,$2.14,33.41
2013-03-31,77.6,$2.60,29.81
2012-12-31,65.2,$3.16,20.62
2012-09-30,62.63,$2.66,23.57
2012-06-30,55.12,$2.14,25.81
2012-03-31,55.02,$1.50,36.57
2011-12-31,54.83,$1.22,44.95
2011-09-30,47.83,$1.59,30.0
2011-06-30,53.95,$1.76,30.67
2011-03-31,50.96,$2.19,23.28
2010-12-31,47.02,$2.84,16.54
2010-09-30,49.3,$3.14,15.72
2010-06-30,46.83,$5.04,9.3
2010-03-31,54.96,$3.39,16.21
2009-12-31,45.97,$2.35,19.58
