ArrowMark Financial Price to Free Cash Flow Ratio Historical Data,ArrowMark Financial Price to Free Cash Flow Ratio Historical Data,ArrowMark Financial Price to Free Cash Flow Ratio Historical Data,ArrowMark Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.67,,inf
2022-09-30,13.84,0.0,0.0
2022-06-30,15.07,0.0,0.0
2022-03-31,16.54,0.0,0.0
2021-12-31,16.59,0.0,0.0
2021-09-30,16.3,0.0,0.0
2021-06-30,15.98,0.0,0.0
2021-03-31,14.13,0.0,0.0
2020-12-31,13.48,0.0,0.0
2020-09-30,13.32,0.0,0.0
2020-06-30,10.7,0.0,0.0
2020-03-31,10.68,0.0,0.0
2019-12-31,14.26,0.0,0.0
2019-09-30,13.93,0.0,0.0
2019-06-30,13.48,0.0,0.0
2019-03-31,13.02,0.0,0.0
2018-12-31,11.52,0.0,0.0
2018-09-30,12.99,0.0,0.0
2018-06-30,13.05,0.0,0.0
2018-03-31,12.19,0.0,0.0
2017-12-31,11.1,0.0,0.0
2017-09-30,11.17,0.0,0.0
2017-06-30,10.84,0.0,0.0
2017-03-31,10.51,0.0,0.0
2016-12-31,9.57,0.0,0.0
2016-09-30,9.37,0.0,0.0
2016-06-30,9.02,0.0,0.0
2016-03-31,8.34,0.0,0.0
2015-12-31,7.7,0.0,0.0
2015-09-30,7.78,0.0,0.0
2015-06-30,7.85,0.0,0.0
2015-03-31,8.01,0.0,0.0
2014-12-31,8.44,0.0,0.0
