FlyExclusive Price to Free Cash Flow Ratio Historical Data,FlyExclusive Price to Free Cash Flow Ratio Historical Data,FlyExclusive Price to Free Cash Flow Ratio Historical Data,FlyExclusive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.22,,0.0
2024-09-30,2.98,$-1.69,0.0
2024-06-30,4.03,$-2.44,0.0
2024-03-31,4.32,$-3.74,0.0
2023-12-31,5.5,0,0.0
2023-09-30,10.66,$0.02,451.69
2023-06-30,10.25,$0.02,455.56
2023-03-31,10.18,$0.04,288.39
2022-12-31,9.97,0,0.0
2022-09-30,9.78,$0.13,76.47
2022-06-30,9.74,$-0.02,0.0
