Rent The Runway Price to Free Cash Flow Ratio Historical Data,Rent The Runway Price to Free Cash Flow Ratio Historical Data,Rent The Runway Price to Free Cash Flow Ratio Historical Data,Rent The Runway Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.55,,0.0
2024-10-31,9.18,$-0.54,0.0
2024-07-31,14.9,$-2.84,0.0
2024-04-30,10.15,$-3.62,0.0
2024-01-31,0.61,$-5.94,0.0
2023-10-31,0.54,$-5.91,0.0
2023-07-31,1.85,$-7.74,0.0
2023-04-30,2.61,$-12.77,0.0
2023-01-31,4.29,$-17.62,0.0
2022-10-31,1.95,$-11.66,0.0
2022-07-31,4.44,$-54.02,0.0
