Southern States Bancshares Price to Free Cash Flow Ratio Historical Data,Southern States Bancshares Price to Free Cash Flow Ratio Historical Data,Southern States Bancshares Price to Free Cash Flow Ratio Historical Data,Southern States Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.3,,8.05
2024-12-31,33.31,$4.01,8.3
2024-09-30,30.73,$3.67,8.36
2024-06-30,27.14,$4.10,6.62
2024-03-31,25.92,$4.59,5.65
2023-12-31,29.28,$4.33,6.77
2023-09-30,22.59,$4.48,5.04
2023-06-30,21.1,$4.55,4.64
2023-03-31,22.55,$4.09,5.51
2022-12-31,28.95,$4.05,7.14
2022-09-30,27.25,$3.73,7.32
2022-06-30,22.4,$4.78,4.69
