Ferguson Price to Free Cash Flow Ratio Historical Data,Ferguson Price to Free Cash Flow Ratio Historical Data,Ferguson Price to Free Cash Flow Ratio Historical Data,Ferguson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,163.9,,254.94
2024-10-31,196.74,$0.64,306.02
2024-07-31,222.65,$0.74,301.86
2024-04-30,209.9,$1.01,206.92
2024-01-31,187.86,$0.98,191.03
2023-10-31,150.2,$1.14,132.09
2023-07-31,161.62,$1.10,146.74
2023-04-30,140.82,$0.87,162.1
2023-01-31,142.34,$-4.00,0.0
2022-10-31,109.26,$3.41,32.01
2022-07-31,126.08,$0.39,321.3
2022-04-30,124.71,$-27.70,0.0
2022-01-31,157.87,$4.84,32.64
