ArcelorMittal Price to Free Cash Flow Ratio Historical Data,ArcelorMittal Price to Free Cash Flow Ratio Historical Data,ArcelorMittal Price to Free Cash Flow Ratio Historical Data,ArcelorMittal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.0,,24.94
2024-12-31,23.13,$1.28,18.03
2024-09-30,25.99,$1.93,13.48
2024-06-30,22.7,$1.64,13.81
2024-03-31,27.04,$2.78,9.74
2023-12-31,27.84,$4.44,6.27
2023-09-30,24.3,$3.70,6.56
2023-06-30,26.54,$5.03,5.28
2023-03-31,29.0,$5.93,4.89
2022-12-31,25.25,$7.47,3.38
2022-09-30,19.17,$7.87,2.44
2022-06-30,21.76,$8.06,2.7
2022-03-31,30.4,$7.46,4.07
2021-12-31,30.23,$6.22,4.86
2021-09-30,28.64,$4.21,6.8
2021-06-30,29.49,$3.59,8.21
2021-03-31,27.45,$2.01,13.63
2020-12-31,21.55,$1.44,14.95
2020-09-30,12.47,$2.82,4.42
2020-06-30,10.1,$1.17,8.64
2020-03-31,8.78,$2.14,4.11
2019-12-31,16.5,$2.41,6.84
2019-09-30,13.4,$1.38,9.7
2019-06-30,16.97,$1.84,9.22
2019-03-31,18.95,$1.54,12.32
2018-12-31,19.22,$0.94,20.53
2018-09-30,28.7,$1.69,17.03
2018-06-30,26.76,$1.95,13.71
2018-03-31,29.5,$1.98,14.86
2017-12-31,29.96,$1.70,17.59
2017-09-30,23.89,$0.92,25.92
2017-06-30,21.08,$0.13,158.13
2017-03-31,23.23,$1.72,13.47
2016-12-31,20.31,$0.45,45.21
2016-09-30,16.8,$0.73,22.96
2016-06-30,12.96,$1.58,8.22
2016-03-31,12.74,$0.15,87.81
2015-12-31,11.74,$-0.50,0.0
2015-09-30,14.33,$0.18,79.77
2015-06-30,27.04,$-0.75,0.0
2015-03-31,25.71,$-0.25,0.0
2014-12-31,30.1,$0.28,107.88
2014-09-30,37.36,$1.98,18.91
2014-06-30,40.74,$0.62,65.65
2014-03-31,43.52,$2.14,20.37
2013-12-31,48.08,$2.28,21.05
2013-09-30,36.84,$2.91,12.65
2013-06-30,30.18,$2.06,14.65
2013-03-31,34.59,$1.43,24.11
2012-12-31,46.37,$2.10,22.05
2012-09-30,37.85,$8.83,4.29
2012-06-30,39.56,$10.73,3.69
2012-03-31,48.93,$5.79,8.45
2011-12-31,46.11,$2.72,16.97
2011-09-30,39.91,$-0.97,0.0
2011-06-30,86.36,$-0.16,0.0
2011-03-31,89.3,$2.19,40.86
2010-12-31,93.73,$4.33,21.63
2010-09-30,80.62,$-3.71,0.0
2010-06-30,65.01,$-0.25,0.0
2010-03-31,106.02,$2.72,39.02
2009-12-31,109.94,$3.94,27.94
