Coda Octopus Group Price to Free Cash Flow Ratio Historical Data,Coda Octopus Group Price to Free Cash Flow Ratio Historical Data,Coda Octopus Group Price to Free Cash Flow Ratio Historical Data,Coda Octopus Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.73,,26.22
2025-01-31,8.05,$0.26,31.35
2024-10-31,8.53,$0.24,35.34
2024-07-31,7.32,$0.07,103.54
2024-04-30,6.65,$0.06,119.6
2024-01-31,5.28,$0.04,141.94
2023-10-31,6.6,$0.09,76.48
2023-07-31,8.67,$0.19,46.74
2023-04-30,7.99,$0.20,40.07
2023-01-31,7.22,$0.42,17.32
2022-10-31,6.42,$0.55,11.57
2022-07-31,4.97,$0.41,11.99
2022-04-30,5.71,$0.54,10.53
2022-01-31,6.74,$0.46,14.52
2021-10-31,8.44,$0.21,39.46
2021-07-31,9.01,$0.50,18.15
2021-04-30,8.0,$0.19,41.73
2021-01-31,6.13,$0.20,30.12
2020-10-31,5.52,$0.32,17.32
2020-07-31,5.77,$0.16,36.47
2020-04-30,6.1,$0.40,15.3
2020-01-31,6.29,$0.40,15.92
2019-10-31,7.34,$0.45,16.17
2019-07-31,11.84,$0.57,20.88
2019-04-30,15.3,$0.38,39.89
2019-01-31,6.29,$0.37,17.01
2018-10-31,6.08,$0.18,32.9
2018-07-31,4.63,$0.06,72.01
2018-04-30,4.01,$0.27,14.74
