Nova Lifestyle Price to Free Cash Flow Ratio Historical Data,Nova Lifestyle Price to Free Cash Flow Ratio Historical Data,Nova Lifestyle Price to Free Cash Flow Ratio Historical Data,Nova Lifestyle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.57,,0.0
2024-09-30,1.53,$-2.31,0.0
2024-06-30,1.63,$-0.56,0.0
2024-03-31,2.99,$-0.59,0.0
2023-12-31,3.77,$-1.00,0.0
2023-09-30,2.42,$-0.40,0.0
2023-06-30,2.24,$-3.63,0.0
2023-03-31,3.01,$-3.76,0.0
2022-12-31,2.17,$-3.88,0.0
2022-09-30,3.7,$-3.94,0.0
2022-06-30,3.6,$-3.40,0.0
2022-03-31,7.5,$-3.85,0.0
2021-12-31,9.35,$-4.01,0.0
2021-09-30,11.35,$-2.49,0.0
2021-06-30,15.7,$-1.80,0.0
2021-03-31,16.2,$-1.41,0.0
2020-12-31,11.9,$-1.22,0.0
2020-09-30,8.25,$5.04,1.64
2020-06-30,9.65,$4.65,2.08
2020-03-31,5.5,$-35.69,0.0
2019-12-31,9.25,$13.11,0.71
2019-09-30,15.97,$5.59,2.86
2019-06-30,17.5,$2.35,7.45
2019-03-31,22.0,$42.51,0.52
2018-12-31,11.51,$-6.04,0.0
2018-09-30,43.5,$-1.25,0.0
2018-06-30,41.75,$-0.32,0.0
2018-03-31,54.0,$-9.56,0.0
2017-12-31,60.0,$-1.21,0.0
2017-09-30,41.5,$-9.69,0.0
2017-06-30,37.75,$-6.89,0.0
2017-03-31,41.5,$2.22,18.68
2016-12-31,48.25,$-6.33,0.0
2016-09-30,90.75,$-1.90,0.0
2016-06-30,10.5,$-0.57,0.0
2016-03-31,29.25,$-4.86,0.0
2015-12-31,45.0,$-4.94,0.0
2015-09-30,57.0,$-6.03,0.0
2015-06-30,46.75,$-7.97,0.0
2015-03-31,62.5,$-13.00,0.0
2014-12-31,70.25,$-12.94,0.0
2014-09-30,107.5,$-14.29,0.0
2014-06-30,116.75,$-13.61,0.0
2014-03-31,199.0,$-0.69,0.0
2013-12-31,112.75,$-1.01,0.0
2013-09-30,106.25,$4.07,26.08
2013-06-30,103.75,$3.39,30.62
2013-03-31,75.0,$-3.37,0.0
2012-12-31,51.25,$-5.95,0.0
2012-09-30,55.0,$-9.69,0.0
