Quipt Home Medical Price to Free Cash Flow Ratio Historical Data,Quipt Home Medical Price to Free Cash Flow Ratio Historical Data,Quipt Home Medical Price to Free Cash Flow Ratio Historical Data,Quipt Home Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.31,,4.51
2024-12-31,3.05,$0.51,5.97
2024-09-30,2.92,$0.59,4.91
2024-06-30,3.22,$0.74,4.33
2024-03-31,4.37,$0.85,5.16
2023-12-31,5.09,$0.90,5.63
2023-09-30,5.09,$0.78,6.51
2023-06-30,5.34,$0.67,7.97
2023-03-31,7.01,$0.52,13.49
2022-12-31,4.71,$0.44,10.64
2022-09-30,4.17,$0.48,8.71
2022-06-30,4.62,$0.50,9.29
2022-03-31,4.39,$0.66,6.69
