Schlumberger Price to Free Cash Flow Ratio Historical Data,Schlumberger Price to Free Cash Flow Ratio Historical Data,Schlumberger Price to Free Cash Flow Ratio Historical Data,Schlumberger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.28,,12.69
2024-12-31,38.34,$3.25,11.79
2024-09-30,41.68,$3.70,11.27
2024-06-30,46.57,$3.15,14.8
2024-03-31,54.1,$3.26,16.59
2023-12-31,51.07,$3.26,15.69
2023-09-30,56.94,$2.30,24.75
2023-06-30,47.77,$2.33,20.53
2023-03-31,47.5,$1.61,29.47
2022-12-31,51.48,$1.55,33.29
2022-09-30,34.45,$1.86,18.55
2022-06-30,34.16,$1.56,21.95
2022-03-31,39.31,$2.16,18.18
2021-12-31,28.41,$2.46,11.55
2021-09-30,27.99,$1.87,14.98
2021-06-30,30.1,$1.50,20.04
2021-03-31,25.47,$1.22,20.87
2020-12-31,20.35,$1.32,15.48
2020-09-30,14.42,$2.14,6.75
2020-06-30,16.93,$2.90,5.83
2020-03-31,12.34,$3.01,4.1
2019-12-31,36.24,$2.68,13.54
2019-09-30,30.37,$2.63,11.53
2019-06-30,34.77,$2.58,13.5
2019-03-31,37.59,$2.41,15.62
2018-12-31,30.78,$2.55,12.07
2018-09-30,51.97,$2.50,20.79
2018-06-30,56.73,$2.53,22.47
2018-03-31,54.43,$2.45,22.24
2017-12-31,56.22,$2.56,21.95
2017-09-30,57.75,$2.45,23.53
2017-06-30,54.07,$2.23,24.29
2017-03-31,63.68,$2.77,22.98
2016-12-31,68.04,$3.10,21.95
2016-09-30,63.36,$3.24,19.56
2016-06-30,63.31,$4.08,15.5
2016-03-31,58.66,$4.63,12.66
2015-12-31,55.09,$5.02,10.98
2015-09-30,54.12,$5.88,9.2
2015-06-30,67.2,$5.93,11.34
2015-03-31,64.7,$5.69,11.38
2014-12-31,65.84,$5.52,11.93
2014-09-30,78.02,$5.64,13.82
2014-06-30,90.17,$5.42,16.64
2014-03-31,74.25,$5.62,13.22
2013-12-31,68.32,$5.06,13.5
2013-09-30,66.76,$4.32,15.46
2013-06-30,53.93,$3.66,14.73
2013-03-31,56.12,$1.99,28.19
2012-12-31,51.73,$1.66,31.19
2012-09-30,53.78,$0.88,61.4
2012-06-30,48.09,$0.61,78.66
2012-03-31,51.58,$1.18,43.71
2011-12-31,50.21,$1.38,36.43
2011-09-30,43.75,$1.82,24.05
2011-06-30,63.08,$1.32,47.88
2011-03-31,67.89,$1.66,40.9
2010-12-31,60.62,$2.06,29.48
2010-09-30,44.61,$2.01,22.16
2010-06-30,39.91,$2.73,14.62
2010-03-31,45.6,$3.01,15.15
2009-12-31,46.62,$2.40,19.41
