Flex LNG Price to Free Cash Flow Ratio Historical Data,Flex LNG Price to Free Cash Flow Ratio Historical Data,Flex LNG Price to Free Cash Flow Ratio Historical Data,Flex LNG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.94,,6.78
2024-12-31,22.94,$3.38,6.78
2024-09-30,24.67,$3.42,7.21
2024-06-30,25.5,$3.38,7.54
2024-03-31,23.34,$3.26,7.15
2023-12-31,25.9,$3.24,7.99
2023-09-30,26.12,$3.23,8.08
2023-06-30,25.81,$3.72,6.94
2023-03-31,27.71,$3.94,7.04
2022-12-31,26.2,$4.11,6.38
2022-09-30,24.88,$4.61,5.4
2022-06-30,20.69,$4.08,5.07
2022-03-31,20.96,$1.57,13.35
2021-12-31,16.72,$-0.96,0.0
2021-09-30,12.37,$-4.29,0.0
2021-06-30,9.87,$-12.38,0.0
2021-03-31,5.82,$-10.76,0.0
2020-12-31,5.51,$-8.78,0.0
2020-09-30,3.57,$-6.26,0.0
2020-06-30,2.87,$-1.50,0.0
2020-03-31,3.15,$-4.17,0.0
