FS Bancorp Price to Free Cash Flow Ratio Historical Data,FS Bancorp Price to Free Cash Flow Ratio Historical Data,FS Bancorp Price to Free Cash Flow Ratio Historical Data,FS Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.23,,13.91
2024-09-30,44.24,$2.68,16.53
2024-06-30,36.0,$5.73,6.29
2024-03-31,34.01,$7.51,4.53
2023-12-31,35.93,$9.77,3.68
2023-09-30,28.44,$10.29,2.76
2023-06-30,28.76,$12.30,2.34
2023-03-31,28.46,$13.57,2.1
2022-12-31,31.5,$23.29,1.35
2022-09-30,25.51,$22.23,1.15
2022-06-30,26.69,$20.60,1.3
2022-03-31,28.53,$22.59,1.26
2021-12-31,30.76,$12.71,2.42
2021-09-30,31.52,$19.46,1.62
2021-06-30,32.32,$8.85,3.65
2021-03-31,30.36,$1.59,19.13
2020-12-31,24.65,$-3.91,0.0
2020-09-30,18.36,$-10.34,0.0
2020-06-30,17.18,$-2.88,0.0
2020-03-31,15.95,$-3.34,0.0
2019-12-31,28.15,$0.74,37.93
2019-09-30,23.09,$-0.47,0.0
2019-06-30,22.81,$0.12,195.78
2019-03-31,22.2,$2.14,10.35
2018-12-31,18.8,$2.28,8.25
2018-09-30,24.36,$4.19,5.81
2018-06-30,27.58,$3.34,8.27
2018-03-31,23.27,$-0.24,0.0
2017-12-31,23.69,$2.14,11.09
2017-09-30,22.38,$4.42,5.06
2017-06-30,18.92,$3.04,6.23
2017-03-31,16.1,$6.68,2.41
2016-12-31,15.46,$-0.00,0.0
2016-09-30,12.51,$-2.76,0.0
2016-06-30,10.83,$-2.34,0.0
2016-03-31,10.72,$-3.66,0.0
2015-12-31,11.03,$-1.41,0.0
2015-09-30,9.97,$-3.50,0.0
2015-06-30,9.47,$-2.61,0.0
2015-03-31,8.14,$-2.15,0.0
2014-12-31,7.65,$-0.82,0.0
2014-09-30,7.14,$-0.58,0.0
2014-06-30,7.24,$0.51,14.31
2014-03-31,6.78,$2.37,2.87
2013-12-31,7.09,$0.66,10.68
2013-09-30,7.01,$1.13,6.23
2013-06-30,7.4,$-0.68,0.0
