Theravance Biopharma Price to Free Cash Flow Ratio Historical Data,Theravance Biopharma Price to Free Cash Flow Ratio Historical Data,Theravance Biopharma Price to Free Cash Flow Ratio Historical Data,Theravance Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.36,,0.0
2024-12-31,9.41,$-0.24,0.0
2024-09-30,8.06,$-0.22,0.0
2024-06-30,8.48,$-0.20,0.0
2024-03-31,8.97,$-0.34,0.0
2023-12-31,11.24,$-0.51,0.0
2023-09-30,8.63,$-2.22,0.0
2023-06-30,10.35,$-2.43,0.0
2023-03-31,10.85,$-2.39,0.0
2022-12-31,11.22,$-2.52,0.0
2022-09-30,10.14,$-1.57,0.0
2022-06-30,9.06,$-1.70,0.0
2022-03-31,9.56,$-2.26,0.0
2021-12-31,11.05,$-3.04,0.0
2021-09-30,7.4,$-3.40,0.0
2021-06-30,14.52,$-4.20,0.0
2021-03-31,20.41,$-4.29,0.0
2020-12-31,17.77,$-4.12,0.0
2020-09-30,14.79,$-4.21,0.0
2020-06-30,20.99,$-3.76,0.0
2020-03-31,23.11,$-3.78,0.0
2019-12-31,25.89,$-4.34,0.0
2019-09-30,19.48,$-4.15,0.0
2019-06-30,16.33,$-4.30,0.0
2019-03-31,22.67,$-4.61,0.0
2018-12-31,25.59,$-2.23,0.0
2018-09-30,32.67,$-2.09,0.0
2018-06-30,22.68,$-2.34,0.0
2018-03-31,24.25,$-2.02,0.0
2017-12-31,27.89,$-3.89,0.0
2017-09-30,34.24,$-3.72,0.0
2017-06-30,39.84,$-2.75,0.0
2017-03-31,36.82,$-2.54,0.0
2016-12-31,31.88,$-2.26,0.0
2016-09-30,36.24,$-2.51,0.0
2016-06-30,22.69,$-3.25,0.0
2016-03-31,18.8,$-3.99,0.0
2015-12-31,16.39,$-5.02,0.0
2015-09-30,10.99,$-5.43,0.0
2015-06-30,13.02,$-5.64,0.0
2015-03-31,17.35,$-7.35,0.0
