Evertec Price to Free Cash Flow Ratio Historical Data,Evertec Price to Free Cash Flow Ratio Historical Data,Evertec Price to Free Cash Flow Ratio Historical Data,Evertec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.13,,10.3
2024-12-31,34.53,$3.61,9.58
2024-09-30,33.84,$3.26,10.39
2024-06-30,33.15,$2.97,11.18
2024-03-31,39.73,$2.58,15.43
2023-12-31,40.72,$2.88,14.12
2023-09-30,36.92,$2.81,13.14
2023-06-30,36.53,$2.79,13.09
2023-03-31,33.42,$2.70,12.38
2022-12-31,32.02,$2.78,11.51
2022-09-30,30.96,$2.68,11.57
2022-06-30,36.37,$3.04,11.98
2022-03-31,40.32,$3.24,12.44
2021-12-31,49.17,$2.80,17.55
2021-09-30,44.93,$3.27,13.74
2021-06-30,42.85,$2.81,15.24
2021-03-31,36.49,$2.49,14.68
2020-12-31,38.5,$2.49,15.45
2020-09-30,33.93,$2.05,16.51
2020-06-30,27.43,$2.42,11.32
2020-03-31,22.14,$2.23,9.95
2019-12-31,33.11,$2.14,15.49
2019-09-30,30.31,$2.10,14.43
2019-06-30,31.71,$2.02,15.73
2019-03-31,26.97,$2.11,12.8
2018-12-31,27.78,$2.13,13.02
2018-09-30,23.29,$2.07,11.26
2018-06-30,21.07,$1.89,11.15
2018-03-31,15.77,$1.89,8.32
2017-12-31,13.16,$1.85,7.13
2017-09-30,15.28,$1.89,8.08
2017-06-30,16.59,$2.10,7.89
2017-03-31,15.15,$1.93,7.85
2016-12-31,16.82,$2.01,8.37
2016-09-30,15.79,$1.92,8.25
2016-06-30,14.54,$1.76,8.25
2016-03-31,12.99,$1.85,7.03
2015-12-31,15.42,$1.83,8.42
2015-09-30,16.55,$1.82,9.07
2015-06-30,19.35,$1.71,11.33
2015-03-31,19.83,$1.65,12.03
2014-12-31,19.97,$1.63,12.22
2014-09-30,20.07,$1.79,11.24
2014-06-30,21.68,$1.68,12.9
2014-03-31,22.0,$1.01,21.88
