MEDIFAST INC Price to Free Cash Flow Ratio Historical Data,MEDIFAST INC Price to Free Cash Flow Ratio Historical Data,MEDIFAST INC Price to Free Cash Flow Ratio Historical Data,MEDIFAST INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.36,,9.25
2024-12-31,17.62,$1.55,11.35
2024-09-30,19.14,$3.10,6.17
2024-06-30,21.82,$4.98,4.39
2024-03-31,38.32,$7.74,4.95
2023-12-31,67.22,$12.93,5.2
2023-09-30,74.85,$15.57,4.81
2023-06-30,90.31,$18.11,4.99
2023-03-31,99.76,$17.97,5.55
2022-12-31,109.18,$15.78,6.92
2022-09-30,101.11,$10.61,9.53
2022-06-30,166.12,$6.00,27.68
2022-03-31,155.81,$3.49,44.64
2021-12-31,189.26,$5.11,37.05
2021-09-30,172.95,$8.25,20.97
2021-06-30,252.41,$10.92,23.12
2021-03-31,187.93,$14.63,12.84
2020-12-31,173.01,$11.76,14.72
2020-09-30,144.08,$11.74,12.27
2020-06-30,120.78,$9.91,12.19
2020-03-31,53.95,$6.05,8.92
2019-12-31,92.95,$6.12,15.18
2019-09-30,87.0,$5.77,15.08
2019-06-30,106.91,$4.93,21.7
2019-03-31,105.66,$5.58,18.95
2018-12-31,102.96,$4.64,22.18
2018-09-30,181.35,$4.26,42.53
2018-06-30,130.81,$4.68,27.94
2018-03-31,76.09,$4.17,18.24
2017-12-31,56.55,$3.32,17.06
2017-09-30,47.77,$2.46,19.41
2017-06-30,33.18,$2.01,16.49
2017-03-31,35.23,$1.79,19.73
2016-12-31,32.81,$1.94,16.93
2016-09-30,29.56,$2.10,14.08
2016-06-30,25.86,$2.42,10.7
2016-03-31,23.28,$2.12,10.96
2015-12-31,23.23,$2.20,10.54
2015-09-30,20.38,$1.96,10.4
2015-06-30,24.52,$1.79,13.72
2015-03-31,22.73,$1.49,15.26
2014-12-31,25.45,$1.45,17.57
2014-09-30,24.9,$2.04,12.22
2014-06-30,23.07,$1.67,13.79
2014-03-31,22.07,$2.07,10.64
2013-12-31,19.82,$2.24,8.84
2013-09-30,20.4,$1.83,11.15
2013-06-30,19.54,$2.04,9.59
2013-03-31,17.39,$1.90,9.14
2012-12-31,20.02,$2.34,8.56
2012-09-30,19.84,$2.11,9.4
2012-06-30,14.93,$1.61,9.26
2012-03-31,13.24,$1.69,7.81
2011-12-31,10.41,$1.45,7.17
2011-09-30,12.25,$1.53,8.03
2011-06-30,18.0,$1.88,9.58
2011-03-31,14.98,$1.43,10.45
2010-12-31,21.91,$1.15,19.1
2010-09-30,20.58,$1.22,16.91
2010-06-30,19.65,$1.28,15.36
2010-03-31,19.06,$1.42,13.43
2009-12-31,23.2,$0.95,24.35
