Standard Motor Products Price to Free Cash Flow Ratio Historical Data,Standard Motor Products Price to Free Cash Flow Ratio Historical Data,Standard Motor Products Price to Free Cash Flow Ratio Historical Data,Standard Motor Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.5,,18.03
2024-12-31,30.98,$1.47,21.08
2024-09-30,32.91,$2.04,16.11
2024-06-30,27.23,$2.38,11.44
2024-03-31,32.65,$3.85,8.49
2023-12-31,38.46,$5.22,7.37
2023-09-30,32.22,$7.09,4.54
2023-06-30,35.67,$3.81,9.37
2023-03-31,34.81,$1.37,25.34
2022-12-31,32.58,$-2.42,0.0
2022-09-30,30.23,$-4.36,0.0
2022-06-30,41.56,$-2.74,0.0
2022-03-31,39.58,$-1.55,0.0
2021-12-31,47.79,$2.64,18.11
2021-09-30,39.68,$3.28,12.09
2021-06-30,39.13,$4.45,8.8
2021-03-31,37.33,$4.42,8.45
2020-12-31,36.11,$3.51,10.29
2020-09-30,39.64,$4.18,9.47
2020-06-30,36.58,$3.41,10.71
2020-03-31,36.91,$2.34,15.8
2019-12-31,47.02,$2.66,17.66
2019-09-30,42.71,$1.27,33.55
2019-06-30,39.68,$1.31,30.33
2019-03-31,42.76,$1.45,29.44
2018-12-31,41.98,$2.19,19.21
2018-09-30,42.5,$3.17,13.39
2018-06-30,41.56,$2.09,19.86
2018-03-31,40.7,$2.46,16.58
2017-12-31,38.26,$1.73,22.09
2017-09-30,40.91,$1.22,33.57
2017-06-30,44.1,$2.07,21.32
2017-03-31,41.34,$2.28,18.17
2016-12-31,44.6,$3.33,13.39
2016-09-30,39.89,$2.45,16.26
2016-06-30,33.09,$1.94,17.06
2016-03-31,28.7,$2.58,11.12
2015-12-31,31.36,$2.04,15.4
2015-09-30,28.64,$2.93,9.77
2015-06-30,28.71,$1.63,17.66
2015-03-31,34.41,$0.36,94.78
2014-12-31,30.92,$1.42,21.72
2014-09-30,27.83,$1.91,14.58
2014-06-30,35.98,$3.24,11.1
2014-03-31,28.73,$3.54,8.12
2013-12-31,29.43,$1.99,14.82
2013-09-30,25.64,$2.23,11.48
2013-06-30,27.28,$2.09,13.07
2013-03-31,21.94,$2.77,7.92
2012-12-31,17.5,$3.55,4.94
2012-09-30,14.44,$2.97,4.87
2012-06-30,10.98,$2.74,4.0
2012-03-31,13.74,$2.89,4.75
2011-12-31,15.47,$2.77,5.59
2011-09-30,9.97,$3.14,3.17
2011-06-30,11.64,$1.93,6.04
2011-03-31,10.52,$1.13,9.33
2010-12-31,10.36,$0.88,11.82
2010-09-30,7.93,$-0.14,0.0
2010-06-30,6.05,$1.14,5.3
2010-03-31,7.39,$3.11,2.38
2009-12-31,6.31,$4.91,1.29
