Riskified Price to Free Cash Flow Ratio Historical Data,Riskified Price to Free Cash Flow Ratio Historical Data,Riskified Price to Free Cash Flow Ratio Historical Data,Riskified Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.69,,20.47
2024-12-31,4.73,$0.23,20.65
2024-09-30,4.73,$0.21,22.55
2024-06-30,6.39,$0.15,43.98
2024-03-31,5.41,$0.09,58.49
2023-12-31,4.68,$0.03,139.7
2023-09-30,4.48,$-0.05,0.0
2023-06-30,4.86,$-0.09,0.0
2023-03-31,5.64,$-0.14,0.0
2022-12-31,4.62,$-0.20,0.0
2022-09-30,3.94,$-0.50,0.0
2022-06-30,4.44,$-0.58,0.0
