Tonix Pharmaceuticals Holding Price to Free Cash Flow Ratio Historical Data,Tonix Pharmaceuticals Holding Price to Free Cash Flow Ratio Historical Data,Tonix Pharmaceuticals Holding Price to Free Cash Flow Ratio Historical Data,Tonix Pharmaceuticals Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.19,,0.0
2024-09-30,0.15,"$-8,600.38",0.0
2024-06-30,0.7,"$-10,344.88",0.0
2024-03-31,5.95,"$-9,695.43",0.0
2023-12-31,12.9,"$-20,418.68",0.0
2023-09-30,17.44,"$43,746.79",0.0
2023-06-30,50.56,"$-10,750.26",0.0
2023-03-31,118.22,"$-11,443.69",0.0
2022-12-31,77.96,$-25.05,0.0
2022-09-30,106.84,"$-55,669.17",0.0
2022-06-30,316.0,$-29.98,0.0
2022-03-31,1473.28,$-12.79,0.0
2021-12-31,2289.28,$-9.75,0.0
2021-09-30,3847.04,$-5.73,0.0
2021-06-30,7104.0,$-4.31,0.0
2021-03-31,8192.0,$-0.29,0.0
2020-12-31,4320.0,$-0.60,0.0
2020-09-30,5376.0,$-2.38,0.0
2020-06-30,3907.2,$4.65,839.95
2020-03-31,4544.0,$0.73,6228.07
2019-12-31,7488.0,$-16.59,0.0
2019-09-30,25318.4,$-54.55,0.0
2019-06-30,87680.0,$-219.18,0.0
2019-03-31,154240.0,$-221.30,0.0
2018-12-31,140800.0,$-212.19,0.0
2018-09-30,378240.0,$-198.95,0.0
2018-06-30,2848000.0,$-42.00,0.0
2018-03-31,1919680.0,$-36.08,0.0
2017-12-31,2208000.0,$-28.69,0.0
2017-09-30,2918400.0,$-4.50,0.0
2017-06-30,2771200.0,$-4.15,0.0
2017-03-31,2988800.0,$-7.78,0.0
2016-12-31,3008640.0,$-14.83,0.0
2016-09-30,4464000.0,$-35.96,0.0
2016-06-30,12736000.0,$-36.19,0.0
2016-03-31,15424000.0,$-32.98,0.0
2015-12-31,49088000.0,$-25.40,0.0
2015-09-30,33856000.0,$-2.57,0.0
2015-06-30,57408000.0,$-2.47,0.0
2015-03-31,40448000.0,$-2.51,0.0
2014-12-31,37376000.0,$-2.32,0.0
2014-09-30,43840000.0,$-2.64,0.0
2014-06-30,91840000.0,$-2.66,0.0
2014-03-31,66624000.0,$-2.48,0.0
2013-12-31,65984000.0,$-2.64,0.0
2013-09-30,23360000.0,$-2.33,0.0
2013-06-30,43136000.0,$-2.65,0.0
2013-03-31,46080000.0,$-4.03,0.0
