Bioventus Price to Free Cash Flow Ratio Historical Data,Bioventus Price to Free Cash Flow Ratio Historical Data,Bioventus Price to Free Cash Flow Ratio Historical Data,Bioventus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.74,,16.64
2024-12-31,10.5,$0.59,17.94
2024-09-30,11.95,$0.45,26.47
2024-06-30,5.75,$0.13,43.73
2024-03-31,5.2,$0.05,114.79
2023-12-31,5.27,$0.13,41.37
2023-09-30,3.3,$0.14,24.37
2023-06-30,2.89,$0.26,10.96
2023-03-31,1.07,$0.13,7.95
2022-12-31,2.61,$-0.24,0.0
2022-09-30,7.0,$-0.33,0.0
2022-06-30,6.82,$-0.09,0.0
2022-03-31,14.1,$0.28,51.03
2021-12-31,14.49,$0.21,69.56
