Canaan Price to Free Cash Flow Ratio Historical Data,Canaan Price to Free Cash Flow Ratio Historical Data,Canaan Price to Free Cash Flow Ratio Historical Data,Canaan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.99,,0.0
2024-09-30,1.01,$-0.81,0.0
2024-06-30,1.0,$-0.81,0.0
2024-03-31,1.52,$-0.72,0.0
2023-12-31,2.31,$-0.72,0.0
2023-09-30,1.82,$-1.67,0.0
2023-06-30,2.13,$-1.46,0.0
2023-03-31,2.7,$-1.17,0.0
2022-12-31,2.06,$-1.17,0.0
2022-09-30,3.28,$1.28,2.56
2022-06-30,3.22,$1.28,2.51
2022-03-31,5.43,$1.28,4.24
2021-12-31,5.15,$1.28,4.02
2021-09-30,6.11,$0.04,153.13
2021-06-30,8.15,$0.04,204.26
2021-03-31,20.67,$0.04,518.05
2020-12-31,5.93,$0.04,148.62
2020-09-30,1.87,0,0.0
