BioXcel Therapeutics Price to Free Cash Flow Ratio Historical Data,BioXcel Therapeutics Price to Free Cash Flow Ratio Historical Data,BioXcel Therapeutics Price to Free Cash Flow Ratio Historical Data,BioXcel Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.36,,0.0
2024-09-30,0.61,$-36.69,0.0
2024-06-30,1.28,$-51.75,0.0
2024-03-31,2.82,$-65.06,0.0
2023-12-31,2.95,$-85.15,0.0
2023-09-30,2.53,$-92.14,0.0
2023-06-30,6.66,$-89.50,0.0
2023-03-31,18.66,$-88.04,0.0
2022-12-31,21.48,$-77.38,0.0
2022-09-30,11.82,$-69.57,0.0
2022-06-30,13.2,$-60.44,0.0
2022-03-31,20.91,$-55.69,0.0
2021-12-31,20.33,$-50.11,0.0
2021-09-30,30.35,$-53.01,0.0
2021-06-30,29.06,$-55.08,0.0
2021-03-31,43.16,$-51.94,0.0
2020-12-31,46.2,$-49.19,0.0
2020-09-30,43.36,$-39.13,0.0
2020-06-30,53.01,$-36.00,0.0
2020-03-31,22.35,$-31.34,0.0
2019-12-31,14.61,$-27.47,0.0
2019-09-30,7.04,$-26.01,0.0
2019-06-30,10.96,$-21.75,0.0
2019-03-31,9.89,$-20.20,0.0
2018-12-31,3.86,$-15.21,0.0
