Phoenix New Media Price to Free Cash Flow Ratio Historical Data,Phoenix New Media Price to Free Cash Flow Ratio Historical Data,Phoenix New Media Price to Free Cash Flow Ratio Historical Data,Phoenix New Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.28,,0.0
2024-09-30,3.19,$-0.78,0.0
2024-06-30,2.71,$-0.78,0.0
2024-03-31,1.94,$-0.78,0.0
2023-12-31,1.36,$-0.78,0.0
2023-09-30,1.26,$-4.24,0.0
2023-06-30,1.97,$-4.24,0.0
2023-03-31,2.28,$-4.24,0.0
2022-12-31,2.68,$-4.24,0.0
2022-09-30,4.71,$-2.04,0.0
2022-06-30,5.0,$-2.04,0.0
2022-03-31,3.36,$-2.04,0.0
2021-12-31,5.17,$-2.04,0.0
2021-09-30,7.68,$-1.46,0.0
2021-06-30,9.3,$-1.46,0.0
2021-03-31,10.62,$-1.46,0.0
2020-12-31,7.2,$-1.46,0.0
2020-09-30,3.56,$-4.92,0.0
2020-06-30,4.29,$-4.92,0.0
2020-03-31,3.59,$-4.92,0.0
2019-12-31,5.68,$-4.92,0.0
2019-09-30,4.46,$-1.59,0.0
2019-06-30,5.66,$-1.59,0.0
2019-03-31,7.34,$-1.59,0.0
2018-12-31,5.58,$-1.59,0.0
2018-09-30,7.35,$1.81,4.05
2018-06-30,7.41,$1.81,4.08
2018-03-31,7.58,$1.81,4.18
2017-12-31,11.31,$1.81,6.23
2017-09-30,10.26,$2.09,4.91
2017-06-30,4.58,$2.09,2.19
2017-03-31,6.08,$2.09,2.91
2016-12-31,5.47,$2.09,2.62
2016-09-30,6.8,$2.27,2.99
2016-06-30,6.41,$2.27,2.82
2016-03-31,7.75,$2.27,3.41
2015-12-31,10.49,$2.27,4.62
2015-09-30,7.63,$3.55,2.15
2015-06-30,13.8,$3.55,3.89
2015-03-31,9.88,$3.55,2.78
2014-12-31,14.48,$3.55,4.08
2014-09-30,16.29,$4.07,4.0
2014-06-30,18.66,$4.07,4.58
2014-03-31,18.07,$4.07,4.44
2013-12-31,16.78,$4.07,4.12
2013-09-30,19.6,$0.37,53.69
2013-06-30,9.57,$0.37,26.2
2013-03-31,7.25,$0.37,19.85
2012-12-31,6.34,$0.37,17.37
2012-09-30,5.96,$0.37,16.21
2012-06-30,8.33,$0.37,22.65
2012-03-31,12.81,$0.37,34.83
