M-tron Industries Price to Free Cash Flow Ratio Historical Data,M-tron Industries Price to Free Cash Flow Ratio Historical Data,M-tron Industries Price to Free Cash Flow Ratio Historical Data,M-tron Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.0,,18.82
2024-09-30,41.69,$2.02,20.65
2024-06-30,35.21,$1.84,19.18
2024-03-31,30.0,$1.55,19.41
2023-12-31,35.7,$1.13,31.7
2023-09-30,17.7,$1.03,17.19
