TrustCo Bank Corp NY Price to Free Cash Flow Ratio Historical Data,TrustCo Bank Corp NY Price to Free Cash Flow Ratio Historical Data,TrustCo Bank Corp NY Price to Free Cash Flow Ratio Historical Data,TrustCo Bank Corp NY Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.67,,10.56
2024-12-31,33.31,$2.90,11.47
2024-09-30,32.74,$3.02,10.86
2024-06-30,28.18,$2.78,10.14
2024-03-31,27.22,$2.62,10.39
2023-12-31,29.62,$3.07,9.64
2023-09-30,25.69,$3.40,7.56
2023-06-30,26.6,$3.99,6.67
2023-03-31,29.32,$4.33,6.77
2022-12-31,34.17,$3.94,8.68
2022-09-30,28.29,$3.37,8.39
2022-06-30,27.48,$3.03,9.07
2022-03-31,28.14,$2.86,9.83
2021-12-31,29.06,$2.73,10.66
2021-09-30,27.59,$2.87,9.62
2021-06-30,29.36,$2.99,9.82
2021-03-31,31.18,$2.73,11.41
2020-12-31,27.96,$3.02,9.25
2020-09-30,21.64,$2.99,7.24
2020-06-30,25.94,$2.99,8.68
2020-03-31,21.95,$3.19,6.89
2019-12-31,34.84,$3.09,11.27
2019-09-30,32.49,$3.37,9.65
2019-06-30,31.3,$3.22,9.72
2019-03-31,30.39,$3.36,9.06
2018-12-31,26.65,$3.31,8.05
2018-09-30,32.71,$3.07,10.67
2018-06-30,34.0,$3.02,11.26
2018-03-31,32.04,$3.03,10.56
2017-12-31,34.61,$3.02,11.46
2017-09-30,33.25,$3.05,10.91
2017-06-30,28.72,$3.02,9.5
2017-03-31,28.83,$2.55,11.31
2016-12-31,31.89,$2.80,11.4
2016-09-30,25.63,$2.63,9.76
2016-06-30,22.96,$2.81,8.18
2016-03-31,21.49,$2.95,7.28
2015-12-31,21.53,$2.96,7.27
2015-09-30,20.27,$3.29,6.16
2015-06-30,24.13,$2.91,8.3
2015-03-31,23.39,$3.20,7.31
2014-12-31,24.44,$2.71,9.01
2014-09-30,21.48,$2.88,7.45
2014-06-30,22.07,$3.27,6.76
2014-03-31,23.02,$3.32,6.93
2013-12-31,23.26,$3.37,6.9
2013-09-30,19.1,$3.00,6.37
2013-06-30,17.26,$3.02,5.72
2013-03-31,17.5,$2.73,6.42
2012-12-31,16.36,$2.90,5.63
2012-09-30,17.47,$2.33,7.5
2012-06-30,16.51,$2.63,6.28
2012-03-31,17.05,$3.26,5.23
2011-12-31,16.55,$3.30,5.02
2011-09-30,12.99,$4.15,3.13
2011-06-30,14.08,$3.66,3.84
2011-03-31,16.84,$3.18,5.29
2010-12-31,17.81,$2.92,6.11
2010-09-30,15.44,$1.82,8.5
2010-06-30,15.37,$1.97,7.78
2010-03-31,16.76,$2.91,5.76
2009-12-31,16.94,$8.82,1.92
