TDH Holdings Price to Free Cash Flow Ratio Historical Data,TDH Holdings Price to Free Cash Flow Ratio Historical Data,TDH Holdings Price to Free Cash Flow Ratio Historical Data,TDH Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.36,,inf
2023-12-31,1.15,0.0,0.0
2023-06-30,1.16,0.0,0.0
2022-12-31,1.55,0.0,0.0
2022-06-30,1.9,0.0,0.0
2021-12-31,77.0,0.0,0.0
2021-06-30,52.6,0.0,0.0
2020-12-31,37.0,0.0,0.0
2019-12-31,26.93,0.0,0.0
