Logan Ridge Finance Price to Free Cash Flow Ratio Historical Data,Logan Ridge Finance Price to Free Cash Flow Ratio Historical Data,Logan Ridge Finance Price to Free Cash Flow Ratio Historical Data,Logan Ridge Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.59,,4.33
2024-12-31,24.99,$5.21,4.79
2024-09-30,24.48,$2.14,11.45
2024-06-30,21.75,$2.97,7.32
2024-03-31,21.53,$3.79,5.68
2023-12-31,21.34,$6.25,3.42
2023-09-30,19.31,$2.36,8.18
2023-06-30,19.04,$-13.91,0.0
2023-03-31,18.92,$-0.67,0.0
2022-12-31,20.17,$-9.45,0.0
2022-09-30,16.2,$-2.85,0.0
2022-06-30,14.23,$19.15,0.74
2022-03-31,20.36,$12.67,1.61
2021-12-31,20.73,$30.33,0.68
2021-09-30,23.18,$31.66,0.73
2021-06-30,22.14,$21.77,1.02
2021-03-31,13.92,$29.48,0.47
2020-12-31,13.0,$19.60,0.66
2020-09-30,8.49,$18.63,0.46
2020-06-30,14.23,$25.55,0.56
2020-03-31,16.94,$25.65,0.66
2019-12-31,45.16,$24.05,1.88
2019-09-30,41.65,$16.00,2.6
2019-06-30,46.13,$15.77,2.93
2019-03-31,37.8,$9.70,3.9
2018-12-31,33.04,$10.29,3.21
2018-09-30,38.88,$6.92,5.62
2018-06-30,36.01,$1.02,35.47
2018-03-31,32.5,$10.89,2.99
2017-12-31,29.67,$16.53,1.8
2017-09-30,37.68,$17.18,2.19
2017-06-30,49.45,$47.07,1.05
2017-03-31,53.06,$35.25,1.51
2016-12-31,46.48,$26.21,1.77
2016-09-30,45.73,$29.29,1.56
2016-06-30,47.31,$-15.56,0.0
2016-03-31,39.19,$-28.79,0.0
2015-12-31,37.78,$-38.01,0.0
2015-09-30,38.69,$-52.47,0.0
2015-06-30,44.62,$-66.13,0.0
2015-03-31,51.76,$-56.64,0.0
2014-12-31,47.95,$-55.19,0.0
2014-09-30,46.34,$-46.53,0.0
2014-06-30,48.19,$-28.20,0.0
